30025274
/m/0fqlthz
/m/0fqlthz
Elise Broach
2008
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 6
about 1
adventure 1
albrecht 1
amazing 1
an 1
and 9
are 2
art 3
artist 1
at 1
basil 1
beetle 2
between 1
birthday 1
boy 2
by 2
can 1
cap 1
charlotte 1
context 1
create 1
credited 1
cricket 1
detailed 1
determined 1
dilemmas 1
dipping 1
discovers 1
drawing 2
drer 1
e 1
echoes 1
elevenyearold 1
explores 1
files 1
for 1
forgeries 1
frankweiler 1
friendship 2
from 1
front 1
great 1
he 1
heist 1
highstakes 1
his 2
in 4
ink 1
intricately 1
involves 1
is 2
james 4
legs 1
lonely 1
marvin 4
masterpiece 1
masterpieces 1
metropolitan 1
middlegrade 1
miniature 1
mistakenly 1
mixedup 1
moral 1
mrs 1
museum 1
mystery 1
named 1
novel 1
of 5
on 1
paper 1
penandink 2
pictures 1
receives 1
recover 1
renaissance 1
sacrifice 1
scenes 1
set 1
soon 1
square 1
stolen 2
surprising 1
swept 1
talented 1
that 2
the 7
this 1
times 1
tiny 1
to 1
up 1
web 1
when 1
which 1
with 2
worlds 1
