11793789
/m/02rsmm8
/m/02rsmm8
William Haughton


a 2
abundant 1
alvaro 1
among 1
and 8
are 1
as 1
because 1
brides 1
but 1
by 1
cancel 1
candidates 1
character 1
class 1
clown 1
comic 1
contemporary 1
courtship 1
crossdressing 1
daughters 3
dealt 1
debts 1
delion 1
dialect 1
disguises 1
domestic 1
dutchman 1
end 1
english 1
englishmen 1
era 1
exchange 1
face 1
favours 1
foreign 1
foreigners 1
founded 1
frenchman 1
frisco 1
from 2
gender 1
gresham 1
halfenglish 1
harvey 1
has 1
heigham 1
helps 1
himself 1
his 1
humour 1
in 3
indicates 1
is 2
italian 1
its 1
laurentia 1
london 1
marina 1
material 1
mathea 1
men 1
merchant 2
moneylender 1
of 3
on 1
one 2
out 1
owe 1
own 1
pisaro 3
play 2
portugal 1
prefer 1
rich 1
royal 1
set 1
sir 1
suitors 2
the 13
their 3
these 1
they 1
thomas 1
three 1
title 1
to 2
trios 1
two 1
vandal 1
walgrave 1
wealth 1
which 1
who 1
win 1
with 1
