13471090
/m/03c6d1l
/m/03c6d1l
Howard Roughan
2008-06-10
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
100 1
16 1
a 19
aboard 1
about 1
acquitted 1
affair 2
agent 1
ago 1
airplane 1
alive 1
all 1
already 1
also 2
an 5
and 11
apart 1
apparent 1
appears 1
are 6
as 3
ashore 1
at 3
back 1
bahamas 2
be 2
because 1
becomes 1
been 1
before 1
beginning 1
behind 1
betrayed 1
better 1
boat 5
boating 1
book 2
bottle 2
boy 1
bring 1
brotherinlaw 1
but 3
by 2
carrie 1
catatonic 1
caught 1
cia 1
city 1
closer 1
cocacola 1
contract 1
court 1
daughter 1
dea 1
dead 1
defamation 1
despite 1
devoux 6
die 1
dies 1
disaster 1
discover 3
discovers 1
doesnt 1
drown 1
drugs 1
dunne 1
dunnes 2
earlier 1
else 1
empty 1
end 2
ends 1
ensure 1
ernie 2
eventually 1
everyone 1
everything 1
explodes 1
explosion 1
fact 1
falling 1
family 5
find 2
finds 1
first 2
flashes 1
for 4
former 1
fortune 1
found 2
from 4
gain 1
gerard 1
gets 1
gut 1
had 3
happened 2
has 2
have 2
having 1
he 7
head 1
heart 1
help 1
her 4
herself 1
high 2
him 2
hired 1
his 5
hits 2
hopefully 1
hopes 1
hour 1
husband 1
if 1
in 6
inherit 1
inside 2
insistent 1
interrupted 1
into 2
investor 1
is 16
island 2
it 6
jake 4
just 2
kate 1
katharine 1
katherine 4
kids 1
kill 3
killed 1
killer 1
kills 1
knocking 1
knows 1
land 1
las 1
law 1
least 1
licensed 1
loose 1
lost 2
luxury 1
make 1
mark 1
matters 1
may 1
message 1
million 2
month 1
more 2
mother 1
murder 1
must 1
near 1
new 1
night 1
no 1
not 1
note 1
now 1
of 3
off 1
on 5
once 1
one 2
only 1
operative 1
out 5
over 1
patterson 1
peter 7
pilot 1
plans 4
powers 1
presumed 1
private 1
prostitute 1
pulling 1
race 1
rents 1
rescue 1
revealed 1
rogue 1
ruined 1
sailboat 1
set 2
settles 1
several 1
she 4
shoot 1
shot 1
sinister 1
sneaks 1
so 1
someone 1
son 1
start 1
stating 1
staying 1
stepfather 1
stepson 1
stock 1
storm 1
story 1
strikes 1
stuart 1
student 1
style 1
sues 1
surgeon 1
survived 1
survivor 1
take 1
teenage 2
tenyearold 1
than 1
that 12
the 34
their 1
them 4
then 1
there 4
they 1
theyre 1
things 1
though 1
throughout 1
to 16
together 2
trace 1
transpires 1
trial 1
tried 1
trip 4
tuna 2
turn 1
turned 1
turns 2
two 1
typical 1
until 1
usd 2
vanishes 1
vegas 1
was 4
washed 1
watch 1
we 2
what 2
when 3
who 1
will 2
with 5
without 1
work 1
working 1
worse 1
worth 1
wounds 1
yacht 1
years 1
york 1
young 1
