20578800
/m/051vtyl
/m/051vtyl
L. Frank Baum

{"/m/03mfnf": "Young adult literature"}
2000 1
a 10
acknowledge 1
alive 1
all 2
also 2
an 1
and 17
annabel 6
annual 1
any 1
appropriating 1
are 1
as 2
at 1
avoid 1
beauty 1
become 1
believing 1
big 1
bingham 2
blossoms 1
boards 1
both 2
boy 2
britain 1
business 1
by 5
carden 8
cardens 3
character 1
cheated 1
children 2
close 1
come 1
communications 1
comparison 1
crucial 1
death 1
deceived 1
developed 1
died 1
doctor 1
double 1
down 1
dr 1
elder 1
employer 1
encourage 1
encouraged 1
encourages 1
england 1
epidemic 1
especially 1
ezra 1
facts 1
falls 1
family 6
father 5
fifteen 1
filtered 1
final 1
fine 1
five 2
fortune 1
forward 1
fraud 1
freckles 1
frozen 1
grow 1
growing 1
had 3
hair 1
hall 1
happy 1
has 5
he 4
her 3
his 7
history 1
house 1
however 1
husband 1
iceskating 1
illustrations 1
in 14
included 1
intercept 1
into 3
investigation 1
is 8
issue 1
it 1
joins 1
jordan 6
knowledge 1
lad 1
land 1
late 1
leading 1
learn 1
life 1
live 1
local 2
lodging 1
look 1
louise 1
lowly 1
made 1
magazine 1
maintained 1
man 1
manages 1
marriage 1
mary 1
mdash 1
meigs 3
mill 4
more 1
mother 2
mr 1
mrs 1
mushroomgrowing 1
nefarious 1
nose 1
novel 1
now 1
nuyttens 1
of 12
old 1
on 1
once 3
out 1
owned 1
owns 1
ozstory 1
perished 1
physician 1
plain 1
plot 1
pond 1
popular 1
possible 1
poverty 1
precisely 1
process 1
prospect 1
prosperity 1
protagonist 1
pug 1
realize 1
red 1
relieves 1
reveal 1
revealed 1
saves 1
scheme 1
she 1
shipwreck 1
siblings 2
sister 1
sixth 1
snobbish 1
start 1
steel 2
steelmagnate 1
steelmaking 1
steelman 1
story 1
succeeded 1
survive 1
suspicious 1
telling 1
that 8
the 33
their 4
they 1
thinking 1
though 1
through 2
to 4
town 2
tricked 1
turns 1
twelveyearold 1
twoacre 1
union 1
united 1
upon 1
valuable 1
vegetable 1
vegetables 1
was 2
well 1
when 1
where 1
while 1
who 3
will 9
williams 5
with 6
womanhood 1
worked 1
world 1
would 1
wounds 1
years 1
young 1
