2008609
/m/06dpk3
/m/06dpk3
Herman Wouk
1985-03
115141 1
173 2
26 1
a 7
account 1
adult 1
after 2
al 1
also 1
alternates 1
american 1
an 1
and 12
are 1
as 2
attend 1
attendant 1
aunts 1
based 1
become 1
becomes 1
between 1
bobby 1
books 1
but 2
by 2
call 1
centered 1
characters 2
child 1
college 2
columbia 1
comedies 1
cousins 1
current 1
daughter 1
david 1
day 1
depictions 1
describe 1
did 1
distant 1
early 2
el 1
embarrassed 1
events 1
explicit 1
family 3
famous 1
father 4
first 2
flight 1
for 6
freedman 2
friend 1
friends 1
gagwriter 1
goldhandler 2
goodkind 6
grandfather 1
had 1
half 1
harry 1
has 2
he 1
him 1
his 15
history 1
in 3
is 1
israel 2
izzy 1
jewish 1
kippur 2
last 1
leading 1
less 1
life 1
loosely 1
man 2
mishpokha 1
mockingly 1
more 1
mother 4
name 1
nor 1
not 1
novel 1
novelist 1
observant 1
of 8
on 2
orthodox 1
other 1
peter 1
philip 1
practices 1
present 1
quat 2
radio 1
returned 1
returns 1
romance 1
roth 2
scene 1
seem 1
self 1
several 1
sexually 1
shortened 1
showgirl 1
similar 1
sister 2
specifically 1
story 1
tales 2
telling 1
tells 1
the 11
their 1
to 6
tribe 1
uncles 1
unflattering 1
up 1
us 1
very 1
war 2
webb 1
when 1
who 2
wife 1
with 1
work 2
worked 1
works 1
years 3
yiddish 1
yom 2
young 2
