19859
/m/04_m6
/m/04_m6
Herman Melville
1851-10-18
2011 1
a 23
aboard 1
according 2
acquiesces 1
after 5
again 1
agrees 1
ahab 21
aid 1
alarmed 1
all 2
almost 1
along 1
also 1
always 1
american 1
an 6
and 28
another 1
any 1
apparently 1
appears 1
are 2
argues 1
arm 1
around 1
arrives 1
as 9
ask 1
assigned 1
at 3
avail 1
away 1
back 1
battle 1
be 5
become 1
becomes 2
bed 1
bedford 1
been 4
before 3
begins 2
begs 2
beneath 1
boarding 1
boat 5
boats 2
book 1
boomer 1
both 1
breaks 1
brought 1
built 1
bunk 1
buoy 2
buries 1
burning 1
but 9
by 5
cabin 1
call 1
cannibals 1
captain 5
captains 2
captured 1
carcass 1
carpenter 1
catches 1
caught 1
caulked 1
changes 1
charismatic 1
chase 1
cheerful 1
chest 1
chief 2
christmas 1
clear 1
clinging 1
close 1
coffin 2
coffinturnedlife 1
cold 1
colleges 1
come 1
continues 1
corpse 1
covers 1
crew 3
crewmen 1
crews 1
crippled 1
damages 1
dangerous 1
dark 3
day 5
days 1
deathly 1
deaths 2
december 1
decide 1
decided 1
deciding 1
delight 1
depths 1
describes 1
desist 1
destruction 1
dick 11
direct 1
disappearance 1
discovers 1
diving 1
dock 1
down 2
dragged 1
during 2
each 3
early 1
elijah 1
encounter 2
enderby 1
enters 1
entire 1
especially 1
even 3
eventually 1
everyone 1
exchanged 1
exhorts 1
experience 1
explained 1
fashioned 1
fearless 1
fedallah 4
figure 2
figures 2
final 1
finally 2
fine 1
first 2
flask 1
for 13
forcing 1
friends 2
frightening 1
from 6
gam 1
gams 1
gathering 1
given 1
gives 1
gloomy 1
go 1
godlike 1
grand 1
grows 1
had 2
happygolucky 1
harboring 1
harpoon 1
harpooneer 2
harpooner 1
harpoonline 2
harpoons 2
has 9
hast 1
haunted 1
have 1
he 4
heard 1
heavily 1
help 1
him 5
himnbsp 1
hints 1
his 15
home 1
hope 1
however 1
humans 1
hump 1
hunt 3
hunting 1
ignores 1
ill 1
illfated 1
imposing 1
in 12
including 2
influence 1
initial 1
inscrutable 1
intact 1
into 1
is 22
ishmael 4
it 3
its 3
itself 1
jawbone 1
jolly 1
just 1
kill 1
killed 1
killing 1
knee 1
large 1
last 2
late 1
later 2
leader 1
leave 1
leaving 1
legs 1
life 1
line 1
lines 1
literature 1
live 1
lost 1
lowering 1
luck 1
mail 1
man 3
manhattan 1
marine 1
massachusetts 2
mate 6
mates 1
may 1
me 1
meet 1
meeting 1
meetings 1
meets 1
men 2
merchant 1
met 1
mind 1
misgivings 1
missing 3
mist 1
moby 11
mobydick 1
mong 1
monomaniacal 1
morning 2
most 1
motivated 1
mottled 1
mysterious 2
mystery 2
named 3
nantucket 2
narrator 2
near 1
neck 1
need 1
nevertheless 1
new 1
news 1
next 3
night 3
no 1
normally 1
not 4
novel 1
now 1
nowhere 1
numerous 1
observant 1
observing 1
ocean 1
of 19
officers 1
oil 1
old 1
on 13
one 10
only 3
open 1
opening 1
or 1
other 5
out 3
over 3
own 3
owners 1
pacific 1
pagan 1
pair 1
papers 1
parsee 1
particularnbsp 1
peculiar 1
pequod 9
pequods 2
pipe 1
pitched 1
polynesian 1
port 1
profitably 1
prophecies 1
prosthesis 1
purpose 2
pursues 1
quaker 1
quarterdeck 1
queequeg 3
queequegs 1
question 1
quickly 3
rachel 2
rachels 1
rams 1
rating 1
reason 1
recently 2
recognizable 1
reconsider 1
recovers 1
referred 1
regarding 1
relevant 1
reliable 1
repeatedly 1
replace 1
replaced 1
requests 1
rescues 1
resistance 1
resolute 1
responsible 1
result 1
returning 1
returns 1
reveal 1
revenge 2
review 1
rises 1
ropes 1
rousing 1
safely 1
sail 4
sailing 1
sailor 1
samuel 1
sea 3
search 1
second 1
secret 1
secretly 1
secures 1
seek 1
seen 4
sends 1
serious 1
set 1
sets 1
setting 1
several 1
share 1
ship 5
ships 6
shivers 1
short 1
shortly 1
should 1
shows 1
sightings 1
sign 2
signs 1
sincere 1
single 1
sinister 1
sink 1
sinking 1
skin 1
smoking 1
snowwhite 1
social 1
some 1
son 1
soon 3
speech 1
sperm 2
spots 1
spouterinn 1
starbuck 5
stays 1
stop 1
stories 1
stout 1
stranger 1
stubb 1
stunned 1
support 1
survives 1
swims 1
takes 1
talk 1
tattooed 1
that 7
the 79
their 6
them 2
then 1
thenabsent 1
there 1
they 3
third 3
thirst 1
this 3
thoroughly 1
though 1
three 1
tied 1
time 3
to 32
together 2
told 1
troubles 1
twin 1
two 5
unfolding 1
ungodly 1
up 3
vengeance 1
vengeful 1
very 4
vessel 2
visage 1
visit 1
voice 1
voyage 6
watching 1
well 1
western 1
whale 10
whalehunter 1
whalers 1
whales 2
whaling 7
when 2
which 5
while 4
whirlpool 1
white 2
who 2
whose 1
widespread 1
will 3
with 9
word 1
wreaks 1
young 1
youngest 1
