7223123
/m/025wmph
/m/025wmph
Tad Williams
2007-03
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 3
against 1
all 1
also 1
an 1
ancient 2
and 7
appeased 1
are 2
army 1
as 2
at 2
autarch 1
awakening 1
bargain 1
barrick 1
be 1
become 1
beyond 2
blood 1
but 2
castle 1
centuries 1
changing 1
chosen 1
creature 1
crossed 1
cursed 1
dark 1
darkness 1
death 1
die 1
easily 1
enemy 1
enmity 1
even 1
fallen 1
falling 1
few 1
fey 1
fight 1
flee 1
flows 1
from 2
further 1
furtive 1
gates 1
godking 1
gods 1
greatest 2
has 2
head 1
heir 1
her 3
here 1
herself 1
hidden 1
his 1
household 1
in 1
into 1
is 3
junior 1
ken 1
lands 1
madness 1
meanwhile 1
misshapen 1
much 1
must 1
nightmare 1
not 1
of 8
older 1
on 1
or 1
out 1
over 1
people 1
qinnitan 1
realm 1
reign 1
royal 1
ruler 1
secret 1
shadow 1
shadowline 2
she 1
so 1
south 1
southmarch 2
spared 1
spill 1
stranger 2
struck 1
sun 1
supreme 1
terror 1
than 1
the 14
their 1
there 1
things 1
through 1
to 1
unique 1
veins 1
was 2
weapon 1
wife 1
will 2
with 1
world 1
yasammez 1
yet 1
