4906737
/m/0ctkz4
/m/0ctkz4
John Whitman

{"/m/06n90": "Science Fiction"}
a 9
abandoned 1
able 3
about 2
absorb 1
absorbed 1
accompanied 1
after 2
ago 1
alderaan 1
alien 2
alive 1
all 1
alone 1
also 2
an 4
and 17
anything 1
apparently 1
are 10
around 1
arranda 1
as 5
at 3
attacked 4
attracting 1
back 1
bad 1
bebo 4
become 2
been 1
began 1
begin 2
behind 1
believing 1
bottomless 1
bring 1
brings 2
brought 1
but 5
by 10
captive 1
captivity 1
caretaker 1
causing 1
cave 1
chasing 2
children 4
chood 2
collapses 1
come 1
comes 1
convinces 1
couldnt 1
crash 1
created 1
creature 1
day 1
deft 1
demands 1
destination 1
destroyed 1
device 1
different 1
disappearances 1
disappearing 1
disgraced 1
disguised 1
done 1
droid 1
dv 3
dvouran 2
earthquake 1
easily 1
else 1
empire 1
engine 1
enzeen 8
erupt 1
escape 4
evade 1
even 1
eventually 1
everyone 1
falcon 1
falls 1
family 1
feels 2
finally 2
find 2
finds 1
flying 1
forcefield 1
forces 3
fortress 3
from 4
galactic 1
get 1
gets 1
gives 1
go 1
goes 1
gone 1
grabbed 1
gravity 1
ground 1
guards 2
had 1
han 1
happy 1
has 4
have 1
he 9
heart 1
help 4
helps 1
her 6
him 6
his 5
hold 1
holes 1
home 1
hoole 6
hope 2
however 3
hutt 1
hyperspace 1
in 3
inn 2
into 2
investigating 1
is 15
it 3
itself 1
keeps 1
kept 1
kevreb 1
killed 2
laboratory 1
land 1
laser 1
learn 1
leaves 1
let 1
lightrunner 1
live 3
long 1
losing 1
manages 2
many 1
medallion 5
meet 1
millennium 1
missing 1
monsters 1
more 3
mysterious 2
need 1
needs 1
new 1
next 1
no 1
nourishment 2
now 1
nowhere 1
of 8
on 8
one 2
only 1
open 1
others 1
out 2
outside 2
over 1
own 1
parasitic 1
parents 1
people 5
personally 1
pilot 1
pit 4
planet 19
planets 1
preteen 1
protected 1
pulled 1
race 1
reach 1
rebels 1
recaptured 1
release 1
repairing 1
repulsor 1
rescue 1
return 1
returns 1
revealed 1
run 1
safe 2
seemingly 2
sees 1
service 1
shada 10
shakes 1
shapeshifting 1
she 7
shiido 1
ship 2
shots 1
showed 1
shows 3
siblings 1
sled 1
sleeping 1
solo 1
something 2
soon 1
spaceport 1
speak 1
speaks 1
species 1
standing 1
starship 1
staying 1
stop 1
stops 1
studies 1
studying 1
take 1
taken 1
takeoff 1
tash 6
than 1
that 4
the 54
their 8
them 6
there 4
they 10
things 1
thinking 1
though 1
throws 1
to 31
too 1
tourist 1
town 4
travel 2
tries 2
unable 1
uncle 2
up 1
waking 1
warn 2
was 1
wearers 1
were 1
when 6
where 1
which 4
while 4
who 9
whose 1
with 10
worrying 1
wrong 1
zak 4
