1496339
/m/055y2z
/m/055y2z
Victor Hugo
1874
173 1
a 19
about 1
acquit 1
action 1
after 3
aimlessly 1
alive 1
all 2
allows 1
alms 1
also 2
an 3
and 24
anyone 1
are 6
argue 1
aristocrat 1
arrives 1
as 3
assault 1
at 5
attack 2
away 2
back 1
battle 1
be 5
been 1
beggar 2
being 1
besiegers 1
blues 3
boat 1
bodies 1
break 1
breton 1
british 2
brittany 3
building 1
but 5
by 10
cannot 1
captured 1
carry 1
castle 4
channel 1
childhood 1
children 6
chouannerie 1
cimourdain 6
coast 1
commander 2
committed 1
comprises 1
condemn 1
conflict 1
conservative 1
constantly 1
control 1
convened 1
convinces 1
corvette 3
could 1
cries 1
danton 1
de 1
deception 1
decree 1
defences 1
deference 1
deputed 1
deputy 1
despair 1
destroyed 1
discovers 1
dislodge 1
disperse 1
distracts 1
doldebretagne 1
during 1
duty 1
each 1
encounter 1
equality 1
escape 2
eventually 2
executed 3
explains 1
expresses 1
extent 1
eye 1
family 2
fanatical 1
few 2
fighting 1
finds 1
fire 2
flchard 1
fleeing 1
followers 1
following 1
for 2
forced 1
former 1
fortunes 1
france 1
french 1
from 2
future 1
gauvain 9
gauvains 2
gave 1
gives 2
goes 1
government 1
group 1
guchamp 1
guillotine 2
guilt 1
has 2
have 2
he 13
health 1
heard 1
hears 1
held 1
helped 1
helps 1
her 6
hierarchy 1
him 5
himself 3
his 5
hold 1
hostage 1
hostages 1
hugo 1
humane 1
hunted 1
husband 1
hysterical 1
immediately 1
in 14
including 1
insists 1
insurrection 1
into 1
is 13
islands 1
it 2
keep 1
kept 1
kill 1
killed 1
knows 1
land 1
landing 1
lands 1
lantenac 13
lantenacs 2
last 1
latterly 1
launch 1
launches 1
lead 1
leaders 1
leadership 1
lenient 1
lesser 1
let 1
libertarian 1
lived 1
local 1
look 1
mainly 1
major 1
manages 1
marat 1
marquis 1
meanwhile 2
meets 1
melt 1
methods 1
michelle 5
military 1
minimal 1
moment 1
morning 1
no 1
nurses 1
of 14
off 1
on 2
one 1
order 1
ordered 1
orders 2
other 1
others 1
out 1
outlines 1
own 1
parents 1
paris 2
part 1
passage 2
past 1
peasant 1
persuades 1
place 2
planning 1
priest 1
prison 2
progress 1
promulgate 1
protected 1
prove 1
provoking 1
radoub 5
rebellion 1
rebels 3
recovered 1
related 1
republic 3
republican 2
rescues 1
retreat 1
returns 1
revolt 1
revolutionary 2
robespierre 1
royalist 2
royalists 1
ruthless 1
safely 1
same 1
sea 2
search 1
secret 1
secure 1
sees 1
sent 1
sergeant 2
setting 1
several 1
sexual 1
she 2
ships 2
shoots 1
shot 1
slips 1
sniping 1
society 2
soldiers 1
son 1
spots 1
spotted 1
still 1
struck 1
support 1
supporter 1
supporters 2
surprise 1
survivors 1
taken 1
takes 3
taxes 1
technological 1
that 8
the 46
their 2
them 4
then 2
there 1
they 3
thinks 1
thought 1
threat 2
three 1
through 3
to 29
told 1
too 1
tradition 1
transcend 1
transform 1
trapped 2
treason 1
trial 1
tribunal 2
tried 1
troop 2
troops 4
try 1
turned 1
tutor 1
unavailable 1
uncompromising 1
unknown 1
up 3
uses 1
values 1
vision 2
visited 1
visits 1
vote 1
votes 1
wanders 1
was 2
western 1
where 2
while 1
whites 1
who 3
whom 1
whose 1
will 2
win 1
with 8
woman 1
year 1
young 1
