14506667
/m/043t_g3
/m/043t_g3
Eleanor Estes

a 14
about 1
adventure 1
after 2
age 1
all 1
always 2
and 13
another 1
any 1
anywhere 1
are 2
arrives 1
as 2
at 1
attic 1
away 1
back 1
becomes 1
big 1
book 2
boy 1
bully 1
but 2
buy 2
by 1
can 1
candy 1
cant 2
cat 1
celebrates 1
chapter 1
children 5
city 1
coming 1
connecticut 1
cranbury 1
day 1
decide 1
died 1
different 1
doctor 1
does 1
door 1
doorbell 1
dressmaker 1
dressmakers 1
each 1
eats 1
else 1
end 1
engineer 1
entertains 1
estes 2
eventually 1
family 2
father 1
fatherless 1
fever 2
finally 1
find 1
first 1
fiveyearold 1
focus 1
follows 1
for 3
form 1
four 1
friend 1
from 1
get 2
gets 3
ghost 2
girl 2
goes 1
good 1
growth 1
had 2
has 1
have 1
haven 1
having 1
he 1
helpful 1
her 2
hides 1
him 1
his 1
hometown 1
house 5
hughie 2
imagine 1
in 8
inside 2
instance 1
instruction 1
interested 1
is 2
it 5
janey 5
joey 1
just 1
kindergarten 1
later 1
letitia 1
little 1
lived 2
living 1
look 1
lunch 1
made 1
make 1
mama 4
man 1
meantime 1
minds 1
modeled 1
moffats 3
more 1
move 2
murdocks 2
nails 1
neighborhood 1
never 1
new 1
next 1
no 1
not 2
of 9
on 3
one 4
only 1
opens 1
or 2
out 1
over 3
pleasure 1
pumpkin 1
puts 1
quarantine 1
real 1
realize 1
reminds 1
rig 1
right 1
rings 1
rufus 5
runs 1
sale 1
scare 2
scarlet 2
school 2
scooter 1
see 1
sell 1
sells 1
seriously 1
shares 1
she 5
shortly 1
side 1
sign 2
simple 1
since 1
situation 1
someone 1
something 1
source 1
stories 2
strange 1
sylvie 1
take 1
takes 1
teeth 1
tells 2
tenyearold 1
that 2
the 28
their 6
them 2
themselves 1
there 1
these 1
they 4
theyve 1
time 2
tiny 1
tired 1
to 11
train 1
try 1
turns 1
two 1
until 1
up 3
use 1
variety 1
very 2
watch 1
watches 1
west 1
when 7
which 1
while 1
who 1
will 1
with 4
worry 1
worst 1
yard 1
yellow 1
york 1
young 1
youngest 1
