594538
/m/02tjsj
/m/02tjsj
Edith Wharton
1911
a 25
about 1
accident 2
account 1
additionally 1
advance 1
affection 1
after 3
agrees 1
alone 1
an 8
and 19
angered 1
announces 1
approve 1
are 3
around 1
as 7
aside 1
at 4
away 3
back 2
based 1
be 1
been 1
before 1
beginning 1
being 1
beside 1
both 1
breaks 1
broken 2
but 5
by 5
care 2
careless 1
caring 1
cat 1
chain 1
chapter 6
checking 1
church 1
clear 2
compliments 1
confused 1
consciousness 1
considers 1
cousin 1
cupboard 1
customer 1
customers 1
dance 1
dangers 1
dazed 1
decades 1
decide 1
dedication 1
deep 1
demonstrate 1
described 1
desires 1
despite 1
details 1
determination 1
device 1
difficult 1
discovers 1
dish 4
dismiss 1
do 1
does 2
down 2
dreams 1
driver 1
during 1
each 2
efficient 1
elm 1
encounter 1
end 1
ends 1
england 1
entering 1
entertain 1
equally 1
errand 1
ethan 17
ethans 2
even 1
evening 2
events 1
excited 1
extended 1
face 1
failing 1
fails 1
fallen 1
family 1
farm 1
favorite 1
feelings 2
fictional 1
figure 2
final 1
finally 1
financial 1
finding 1
finds 3
first 5
firstperson 2
fix 1
flashback 1
flashes 1
foiled 1
for 14
forces 1
framed 1
from 5
frome 12
fromes 1
furthering 1
get 2
girl 2
give 1
given 1
glue 1
go 3
guilt 1
habit 1
had 4
has 4
have 1
he 7
health 1
help 1
her 12
herself 2
hill 1
him 4
hire 2
hired 1
hires 1
his 12
hits 1
home 2
horrific 1
house 3
household 1
however 3
illness 1
impulse 1
in 12
inflamed 1
informs 1
injured 1
instead 1
interrupted 1
into 5
introduced 1
ironic 1
is 15
it 3
jerk 1
just 1
killed 1
kitchen 1
lameness 1
last 2
later 1
learn 1
leaves 1
life 1
like 1
limited 1
literary 1
lives 2
load 1
local 1
lookin 1
losing 1
love 1
lumber 1
lying 1
made 1
makes 1
man 4
many 1
mattie 17
may 1
moaning 1
moment 2
moments 1
money 1
more 2
morning 2
most 1
movement 1
must 1
mysterious 1
named 2
narration 1
narrator 10
neatly 1
neighboring 1
never 1
new 2
next 1
night 2
not 2
notion 1
novel 2
now 1
observations 1
occasional 1
of 22
off 1
on 6
once 1
one 1
opens 1
or 1
other 1
out 2
outside 1
pact 1
pain 1
paralyzed 2
partial 1
partially 1
passion 2
passions 1
patience 1
pay 1
personality 1
pick 1
picking 1
pickle 3
pieces 1
plan 1
plans 5
point 1
possess 1
powerful 1
presence 1
pronouncement 1
proposed 1
rapidly 1
recompense 1
recovers 1
regains 1
replace 1
represses 1
resists 1
return 1
returned 1
returns 1
reveal 1
rid 1
ride 1
ruin 1
run 3
running 1
runs 1
rushes 1
second 1
seek 2
send 2
set 2
sets 2
severe 1
she 2
shelter 1
show 1
sickly 1
sickness 1
since 1
sledding 2
smashup 2
snowstorm 1
so 3
socalled 1
some 1
soon 1
soured 1
spend 1
spending 1
spite 1
starkfield 3
station 1
stay 1
step 1
still 1
stop 1
storm 1
story 2
striking 1
suggests 1
suicide 1
suspects 1
switches 2
table 1
take 2
taking 1
tells 3
that 6
the 60
their 5
them 1
themselves 1
then 1
there 1
these 1
they 6
thirdperson 1
this 1
thought 1
through 2
throughout 1
to 31
together 3
town 5
townspeople 1
train 1
treatment 1
tree 2
trees 1
try 1
turn 2
twentyfour 2
two 3
twoday 1
unhinged 1
unnamed 2
up 2
upon 2
verbalize 1
view 1
vision 1
visit 1
waiting 1
walk 1
walking 1
was 1
way 2
week 1
when 3
where 1
wherewithal 1
which 2
while 1
who 3
wife 2
wifes 1
winter 2
with 11
without 1
years 2
zeena 12
zeenas 3
zenobia 1
