3400450
/m/099l2t
/m/099l2t
Henry James

{"/m/05hgj": "Novel"}
a 3
abroad 1
adela 1
afraid 1
after 1
and 7
angry 1
any 1
are 1
art 1
as 1
asking 1
attracted 1
be 1
becomes 1
becoming 1
best 1
breaks 1
brigstock 1
but 1
by 1
carefully 1
coarse 1
collected 1
completely 1
consumed 1
crude 1
days 1
declares 1
dicks 1
engaged 1
engagement 1
eventually 1
family 2
few 1
filled 1
finally 1
finds 1
fine 1
fire 1
fleda 7
for 1
from 3
furnished 1
furniture 2
fuss 1
gereth 5
get 1
gets 1
go 1
goes 1
has 1
he 2
heirlooms 1
help 1
her 3
hers 1
his 3
home 1
honor 1
house 3
insists 1
instead 1
is 3
it 3
keep 1
leave 1
letter 1
like 1
love 1
married 1
marry 1
meanwhile 1
minimum 1
mona 6
more 1
mother 1
moves 1
mrs 4
objects 1
of 3
off 1
one 1
other 1
over 1
owen 6
piece 1
pieces 1
poynton 5
reported 1
returns 1
says 1
select 1
sensitive 1
she 2
smaller 1
son 1
soon 1
take 1
tasteful 1
tells 1
that 4
the 11
theft 1
they 1
to 12
unhappy 1
unless 1
valuable 1
vetch 1
visits 1
wants 1
widow 1
will 1
with 4
would 1
