15464639
/m/03mb53s
/m/03mb53s
Nicholas Pileggi
1986
{"/m/0lsxr": "Crime Fiction", "/m/017fp": "Biography", "/m/05hgj": "Novel", "/m/01pwbn": "True crime", "/m/02xlf": "Fiction", "/m/0xdf": "Autobiography"}
11 1
12 1
15 1
155 1
16 1
160 1
163 1
164 1
165 1
166 1
167 1
168 1
17 1
170 1
a 9
about 1
activities 1
affair 1
after 1
age 1
air 1
airport 1
an 1
and 11
april 1
army 1
arrested 1
as 2
aspiring 1
associate 1
association 1
at 3
back 2
batts 1
began 2
behind 1
bene 1
billy 1
boss 1
both 1
bought 1
bragg 1
burke 4
by 4
called 1
cargo 1
carolina 1
carried 1
caught 1
child 1
cigarettes 1
class 1
close 1
continued 2
cooperate 1
coppociano 1
crime 1
criminal 1
date 2
decision 1
delitto 1
desimone 3
devino 1
dewiseguy 1
disapproved 1
discharge 1
double 1
earning 1
eloped 1
enlisted 1
eventually 1
everyone 1
explained 1
family 1
father 1
fellow 1
first 1
five 1
for 4
fort 1
four 1
france 1
frenchy 1
friedman 1
friend 1
from 1
gambino 1
gangster 1
gina 1
girl 1
gofer 1
goods 1
gotti 1
gregg 1
had 1
happily 1
he 6
heist 1
here 1
hijacking 1
hill 11
his 6
however 1
in 13
international 1
irishitalian 1
it 1
itil 1
jewish 1
jfk 1
jimmy 2
john 1
joined 1
june 1
karen 2
later 1
led 1
lenny 1
life 1
linda 1
local 1
made 1
mafia 1
man 1
masterminded 1
mcmahon 1
meeting 1
men 1
met 2
mobster 1
montague 1
montemurro 1
months 1
murdered 1
neighborhood 1
new 2
north 1
of 9
on 3
only 1
out 1
paga 1
paul 2
please 1
police 1
promoted 1
psychopathic 1
questioned 1
refused 1
reluctantly 1
respect 1
restaurantlounge 1
returned 1
robbery 1
robert 1
second 1
section 1
selling 2
son 2
stationed 1
stickup 1
stolen 2
street 1
streets 1
suite 1
surprise 1
tendencies 1
terminal 1
that 3
the 14
their 1
they 1
to 7
tommy 1
towns 1
trucks 1
two 1
us 1
vario 9
wanted 1
was 6
welcomed 1
when 2
where 2
which 2
while 1
who 1
william 1
with 5
worked 1
working 2
year 1
york 2
young 2
