1500123
/m/0566nn
/m/0566nn
James Baldwin
1956
{"/m/05hgj": "Novel"}
a 34
able 1
about 5
accident 1
acquaintance 2
after 3
again 3
agree 1
all 4
along 1
also 1
always 1
america 2
an 3
and 36
announces 1
are 1
as 5
ashamed 1
ask 2
asking 2
at 3
attempts 1
aunt 1
back 10
bar 6
bartender 2
be 4
because 3
become 2
been 2
before 1
began 1
begins 1
being 1
believes 1
better 1
bitterly 1
board 1
bonded 1
book 1
bookshop 1
both 1
boy 1
boys 1
briefly 1
broach 1
brooklyn 1
bullying 1
but 4
by 3
calls 1
can 2
cannot 2
caretaker 1
castigated 1
children 1
cinema 1
clientele 1
college 1
comes 3
compromised 1
convinces 1
couple 1
curtains 1
dark 1
david 28
day 3
days 3
death 1
decides 2
describes 1
desire 1
developing 1
dignity 1
dinner 1
discovered 1
discovers 1
discuss 2
distressed 1
do 1
does 3
dominate 1
drink 1
drinking 2
drinks 1
drives 1
during 1
eat 1
ellen 1
encounter 1
encourages 1
ending 1
ends 1
enjoins 1
eventually 2
example 1
excuses 1
execution 3
experience 1
explains 1
expresses 1
fairy 1
fall 1
fancies 1
far 1
father 6
feel 3
feels 1
few 2
find 1
finds 3
fired 1
first 1
for 15
france 4
free 1
friends 1
from 3
gay 3
gender 1
get 3
gets 1
giovanni 27
girlfriend 1
go 6
goes 3
going 1
good 1
guillame 2
guillaume 9
guillotined 1
guilt 2
had 3
halles 1
has 6
have 5
he 30
hella 9
her 6
hide 1
him 6
himself 4
his 16
home 1
homosexual 1
homosexuality 1
hotel 1
house 1
how 2
hysterical 1
if 1
imagines 1
impending 1
in 18
instead 1
interest 1
into 6
inventory 1
is 23
it 1
italian 2
jacques 8
job 3
joey 2
just 2
killing 1
kissing 1
know 1
later 5
latter 1
leaves 3
left 1
les 1
let 1
letter 3
life 2
like 2
little 1
live 1
lived 1
lives 1
longer 2
love 2
make 1
makes 2
making 2
man 7
manhood 1
mannerisms 2
marriage 1
married 1
meal 1
meanwhile 1
meet 3
meets 1
men 5
mental 1
met 1
might 1
misogynistic 1
money 2
move 2
moves 1
moving 1
much 1
murder 2
need 2
new 2
news 1
newspapers 1
next 2
nice 1
no 4
not 7
notice 1
now 1
of 9
off 1
older 2
on 2
once 1
only 1
or 1
order 1
out 4
over 1
own 2
oysters 1
paris 2
part 1
pass 1
penniless 1
pictures 1
place 1
played 1
police 1
pray 1
prejudices 1
privacy 1
prolepsis 1
prone 2
proposed 1
prove 1
public 1
rage 1
read 1
real 2
reality 1
realizes 1
recounts 1
rehire 1
relationship 1
remembers 1
responds 1
restaurant 1
returned 1
returning 1
returns 1
reveals 1
richer 1
roles 1
room 7
round 1
runs 1
sacrifice 1
sacrificing 1
sailor 3
says 2
searches 1
see 1
sends 1
sentenced 1
setting 1
several 1
sex 3
sexual 1
she 7
since 1
skip 1
sleep 1
sleepover 1
slight 1
small 1
so 3
sometime 1
son 1
soon 1
south 3
spain 1
spends 1
staring 1
states 1
stays 1
subject 1
subsequent 1
suddenly 1
sue 1
supper 1
suspected 1
talk 2
talking 1
that 11
the 32
their 2
them 1
then 4
there 1
they 10
thinks 2
this 1
though 1
three 1
time 1
times 1
to 52
together 2
too 1
took 1
train 1
tries 1
trouble 1
true 1
two 6
unclear 1
uncomfortable 1
under 1
united 1
until 1
up 1
upbraids 1
upset 1
used 1
walking 1
walks 3
want 2
wanted 1
wants 1
went 2
when 1
where 2
whether 1
which 4
white 1
who 5
whom 4
why 1
wine 1
with 13
woman 2
women 1
worried 1
would 1
wracked 1
year 1
young 1
yves 1
