8425795
/m/027300h
/m/027300h
Chris Crutcher

{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature"}
a 6
abuses 1
achievements 1
alicia 1
all 1
an 1
and 12
andy 1
antagonistic 1
as 3
assistant 1
athletes 1
avoid 1
barbour 2
basketball 1
be 1
become 1
blind 1
bodybuildermusician 1
bond 1
brown 1
bullying 1
challenged 1
chris 2
close 1
coach 1
coughlin 2
craig 1
cutter 1
dan 1
delong 1
display 1
drunkard 1
during 1
each 1
encourages 1
extremely 1
eye 1
favoritism 1
football 1
for 1
form 2
formerly 1
frequently 1
friends 1
generic 1
georgia 1
gets 1
girl 1
grow 1
halfblack 1
have 1
having 1
he 1
heavily 1
heidi 2
helps 1
her 3
high 1
his 1
hole 1
in 1
intelligent 1
is 1
its 1
itself 1
jackie 1
join 1
kibble 1
kind 1
little 1
many 1
marshall 1
meets 1
mentally 1
mike 1
mother 1
mott 1
mr 1
named 1
obese 1
obnoxious 1
occurs 1
of 3
on 2
other 1
others 2
physical 1
place 1
predicaments 1
prides 1
quiet 1
recruit 1
reveal 1
rich 1
rude 1
school 1
sevenman 1
simet 1
simon 1
six 1
slowly 1
star 1
start 1
stepdad 1
story 1
students 1
such 2
swam 1
swim 1
takes 1
talented 2
tayroy 1
teacher 1
teachers 1
team 2
teams 1
that 1
the 13
them 1
therapist 1
there 1
they 3
thrives 1
tj 4
to 8
together 1
tormenting 1
toward 1
turn 1
very 1
wants 1
was 1
which 2
who 2
winnings 1
with 1
wrestling 1
year 1
