8733173
/m/027gqny
/m/027gqny
Catherine Marshall
1967
1yearold 1
75 1
a 16
about 1
accident 1
acquainted 1
adults 1
agnostic 1
agnosticism 1
alice 4
also 3
alternative 1
although 1
an 6
ancient 1
and 21
appalachian 1
appalachians 2
apparent 1
are 3
area 1
as 6
asheville 1
assistants 1
associated 1
at 3
attempt 1
attending 1
based 1
be 2
beauty 1
become 2
becomes 1
been 2
beliefs 1
best 2
better 2
block 1
book 4
both 1
branch 1
burgeoning 1
but 2
by 3
called 1
carolina 1
catherine 2
centered 1
challenged 1
challenges 1
chapel 1
characters 3
christian 1
christy 11
cocke 1
community 5
conceived 1
concerns 1
conditions 1
consider 1
county 1
coworker 1
crafts 1
crops 1
cutter 4
cycle 1
danish 1
daughter 2
david 2
day 1
death 1
decades 1
del 1
descended 1
describes 1
discovers 1
disease 1
doctor 1
doing 1
dr 1
drawn 2
earning 1
ebenezer 1
educate 1
educated 1
encourages 1
ends 1
established 1
eventually 1
experiences 1
faith 2
family 3
fascinated 1
feuding 1
feuds 1
fever 1
fictional 2
fictionalized 1
filthy 1
finds 1
first 1
folk 2
folkways 1
following 1
for 3
founder 1
friendships 1
from 4
gap 4
giving 1
grantland 1
grew 1
group 1
grundtvig 1
has 1
have 1
he 1
help 2
henderson 1
her 8
herself 1
him 1
his 2
historical 1
hollow 1
house 1
huddleson 1
hygiene 1
idea 1
implied 1
in 15
include 1
including 2
information 1
initially 1
injustice 1
interfering 1
is 8
it 1
its 1
landmarks 1
late 1
learned 1
lectures 1
listens 1
living 1
local 6
locals 3
macneill 5
main 1
make 1
makes 1
man 1
many 1
marked 1
married 1
marries 1
marshall 3
mdash 2
medicine 1
meeting 2
mentor 1
minister 4
miss 2
mission 4
money 1
moonshiners 1
moonshining 1
more 1
morgan 1
mother 1
mountain 2
mountains 1
named 1
near 1
nearby 1
needs 1
needy 1
neighbors 1
neill 1
north 1
notice 1
of 15
on 5
order 1
origins 1
other 1
out 1
outsider 1
parents 1
partly 1
people 2
percent 1
performs 1
persists 1
peter 2
physician 6
plight 1
plot 1
population 2
predatory 1
preserve 1
prevent 1
primitive 1
program 1
prohibition 1
quaker 1
questions 1
quoted 1
raped 1
reaching 1
reaction 1
real 1
reasons 1
regarding 2
reluctant 1
remote 1
revelations 1
revenge 1
revival 1
rio 1
romantically 1
royalty 1
same 1
saying 1
school 1
schoolchildren 1
schools 1
seeks 1
selfsustaining 2
seller 1
set 1
several 1
shares 1
she 7
site 1
smaller 1
society 1
soon 1
story 1
students 2
studies 1
suffer 1
sympathetic 1
talk 1
teach 2
teacher 1
teen 1
tennessee 2
that 6
the 51
their 4
these 1
those 1
threads 1
time 1
to 22
trachoma 1
tradition 1
traditional 1
traditions 1
trepanation 1
tried 1
trip 1
typhoid 1
unfair 1
up 3
use 2
victim 1
views 1
village 1
visiting 1
visitors 1
volunteering 1
was 4
ways 1
welltodo 1
when 3
where 1
which 1
while 2
who 3
wholly 1
why 1
widow 1
wife 2
will 1
with 5
woman 2
women 2
work 1
wrote 1
