165356
/m/0160g0
/m/0160g0
Oscar Wilde


a 26
abandoned 1
about 8
abroad 1
acceptable 1
act 1
action 1
actually 1
advantage 1
after 5
again 1
age 1
all 1
allowing 1
alone 4
along 1
already 1
amiss 1
among 2
an 4
and 47
announced 1
announces 1
another 1
anxious 1
apologises 1
appearance 1
appears 3
are 2
arrival 1
arrives 1
as 9
aside 1
asks 3
assumed 1
at 7
attempt 1
attempts 1
attendance 1
attending 1
augustus 5
away 2
back 1
ball 4
bank 2
be 6
been 2
before 2
begin 2
begun 1
behaviour 1
being 1
believes 1
believing 1
berwick 1
best 1
betrayed 1
betraying 2
birth 1
birthday 3
blackmailing 1
book 3
both 1
breaks 1
brief 1
brushes 1
but 8
by 7
calls 1
cannot 1
carriage 1
cause 1
check 2
chicago 1
child 1
clear 2
closing 1
club 1
coach 1
coldly 1
college 1
come 1
comes 1
coming 1
commonly 1
company 1
compliments 1
conceived 1
confronts 1
confused 1
contempt 1
continues 1
convince 1
convinced 1
cooperate 1
couch 1
country 1
courage 2
curiously 1
darlington 14
day 2
dead 1
dealings 1
decides 2
decision 1
demands 2
deny 1
departure 1
desk 1
despite 2
discover 1
discovers 2
discuss 2
discussing 1
disgust 1
disrepute 1
do 2
does 3
drawing 1
duchess 3
during 1
earlier 1
effect 1
enamoured 1
england 1
enraged 1
enter 1
entering 1
enters 5
erlynne 30
evening 3
eveninghas 1
events 2
eventually 1
evicted 1
exit 1
exits 1
explained 1
explains 1
extreme 1
fact 1
fan 4
far 1
fashion 1
favour 1
finally 1
find 1
finds 3
first 1
following 2
for 11
forbids 1
forget 1
freshmen 1
friend 3
friends 1
friendship 1
from 6
gentlemen 1
give 1
given 1
giving 1
going 1
gone 1
goodnights 1
gossip 1
great 1
greeted 1
guests 2
had 1
happened 1
has 10
have 4
having 1
he 17
heads 1
hear 1
heard 1
heartbroken 1
help 1
her 49
herself 3
hidden 1
hide 1
hiding 1
him 8
himself 1
his 11
holiday 1
home 1
honest 1
house 1
humiliation 2
husband 11
identity 2
if 4
ii 1
immediately 1
imploring 1
in 17
incident 1
include 1
informs 1
inquire 1
insists 1
instantly 1
instead 2
intends 1
intention 1
interest 1
into 1
invitation 2
inviting 1
is 30
it 4
just 1
keep 2
know 1
known 1
lady 37
laments 1
large 2
later 1
leave 3
leaves 5
leaving 1
left 2
letter 1
life 2
lifestyle 1
lists 1
live 1
locate 1
lock 2
london 2
lord 39
lorton 1
love 1
lover 2
lying 2
made 2
mainly 1
make 2
makes 2
making 1
marriage 2
marry 2
may 1
meet 1
men 2
mistake 1
moment 1
money 3
monologue 1
more 1
morning 2
mother 2
mrs 30
name 1
never 1
new 4
news 1
next 2
night 2
not 7
note 3
nothing 2
notice 1
now 2
of 28
off 2
offer 1
offering 1
on 6
once 2
one 3
open 1
opens 2
or 1
order 2
origins 1
other 1
out 3
over 1
owed 1
part 1
particular 1
party 3
pay 1
peace 1
persuade 1
photograph 2
place 1
placed 1
plan 1
plans 1
play 1
plot 1
point 1
pointed 1
popular 1
positively 1
possibility 1
possibly 1
prepare 1
preparing 1
present 1
presently 1
presents 1
presumes 1
previous 1
previously 1
professes 1
promises 1
protecting 1
protestations 1
prying 1
pulls 1
puritan 1
purpose 1
quite 2
quote 1
reading 1
rebellious 1
recent 1
recently 1
recognises 1
refuses 2
regain 1
region 2
relationship 1
relief 1
reluctance 1
remarking 1
repeated 1
requests 3
require 1
residence 1
resistance 1
resolves 2
responds 1
restored 1
return 6
returning 1
returns 2
reveal 2
revealed 2
revealing 1
reveals 4
revelation 1
right 1
rises 1
risk 1
room 5
rooms 1
rumours 1
sake 1
satisfactorily 1
save 1
say 1
scene 1
second 1
secret 2
secrets 1
see 1
seeing 1
seemingly 1
sees 1
send 1
sets 1
shall 1
shame 1
shameful 1
she 25
shock 1
shocked 2
shocking 1
shortly 2
shortterm 1
shows 1
side 1
similar 1
slip 1
smalltalk 1
so 2
social 2
society 3
soliloquy 1
some 2
somewhere 1
son 1
soon 1
speak 1
specific 1
spinal 1
spite 1
spoiling 1
spread 1
standing 1
state 2
states 3
status 1
stay 1
stemming 1
still 1
story 2
summons 1
sums 2
suspicion 1
sympathetic 1
table 1
take 2
takes 3
taking 1
talk 1
tattoo 2
tea 1
tell 3
that 29
the 65
their 4
them 1
then 1
there 1
thereafter 1
these 1
they 6
this 3
though 3
threatening 2
time 2
to 62
told 1
towards 1
tragic 1
true 2
truth 3
try 1
tuppy 1
twenty 1
two 1
ultimatum 1
united 1
unnoticed 1
unsuccessful 1
unsure 1
untoward 1
upset 1
using 1
various 1
vertical 1
very 1
views 1
visit 1
visiting 1
visits 1
warning 1
was 2
what 2
when 2
where 1
whether 2
which 4
while 3
whilst 1
who 1
whole 1
whom 1
wide 1
wife 5
will 5
windermere 54
windermeres 3
windermeresome 1
windermerewho 1
with 13
woman 2
women 2
worried 2
would 1
writes 1
years 1
young 1
