14196593
/m/03cxhbg
/m/03cxhbg
Nora Roberts
2007-10
a 19
able 2
about 1
accompanied 1
admits 1
admitting 1
after 1
again 1
against 1
agrees 1
alibi 1
allesseria 6
alone 1
also 1
an 3
and 30
another 1
anything 1
apa 1
apartment 1
are 4
around 1
arrive 2
as 7
at 2
attack 1
attacked 1
attacks 2
automatically 1
bartender 1
baxter 2
be 1
because 3
been 1
before 2
being 1
beliefs 1
believes 1
billionaire 1
bit 1
bled 1
blood 9
bloodbath 5
body 1
bottled 1
brought 1
bulgaria 1
but 4
by 7
call 1
called 3
calling 1
came 1
can 2
candles 1
cant 1
carrying 1
carter 3
causing 1
central 1
charlotte 1
checks 1
cher 1
club 5
conference 1
confirms 1
considers 1
continue 1
contribute 1
cool 1
cop 1
cops 1
coronor 1
could 1
crime 1
cross 2
curious 1
daffy 1
dallas 16
date 1
david 1
deadbody 1
delia 1
detective 2
detectives 2
discovers 1
dna 2
does 2
doesnt 1
dont 1
dorian 16
down 2
dr 2
drained 1
drank 2
drinks 1
drugs 1
drunk 2
end 1
enraged 1
europe 1
eve 7
exist 1
fact 1
fears 1
find 2
finding 1
finds 1
fitting 1
for 4
found 2
francine 1
friend 1
from 2
garlic 1
gave 1
get 3
gets 2
give 1
gives 3
go 2
goes 3
going 1
got 1
greeted 1
gregor 1
had 1
hallucinogens 1
hard 1
has 5
he 12
head 4
heads 1
help 1
her 12
herself 1
him 3
himself 1
his 4
homicide 1
how 1
human 1
hung 1
husband 1
ian 1
in 8
informs 1
interesting 1
interrupted 1
into 3
investigation 1
invited 2
iris 2
irritated 1
is 13
it 1
kent 2
killed 1
killer 1
killing 1
kills 1
last 1
leaves 1
leaving 1
lied 1
lights 1
link 1
literally 1
long 1
lt 1
magician 2
makes 1
man 4
match 1
matter 1
mcnab 2
message 1
met 2
mira 2
mixture 1
morning 2
morris 1
most 1
move 1
much 1
murder 3
mystery 1
named 1
neck 3
news 2
next 2
night 1
no 1
not 2
now 1
of 10
off 5
on 3
one 2
only 1
organizes 1
originally 1
others 1
out 3
over 2
own 1
owns 1
part 1
partially 1
peabody 7
pensky 1
people 1
perpetrated 1
phone 1
pig 1
police 1
potion 2
prepare 1
prepares 1
print 1
prison 1
program 1
puncture 2
puts 1
rape 1
reach 1
recognises 1
records 1
refuse 1
religious 1
remember 1
reo 1
repeat 1
report 1
reveals 1
right 1
roarke 8
room 1
rush 1
saliva 1
say 1
scene 1
security 1
see 3
semen 1
serving 1
several 1
she 12
should 1
silver 1
some 1
special 1
stabbed 1
stake 3
stomach 1
sun 2
suspects 1
swapped 1
syringe 1
system 1
take 1
talk 1
tell 1
tells 1
tested 1
that 6
the 35
them 2
then 2
they 7
think 1
thinks 1
three 1
tiara 9
time 3
to 29
touch 1
tox 1
tranqs 1
tried 1
tries 2
trying 1
turn 2
turns 1
twin 2
unable 1
underground 2
until 1
up 3
upstairs 1
uses 1
vadim 1
vampire 5
vampires 5
vials 1
voice 1
ward 2
was 7
watched 1
way 1
wearing 1
what 1
wheates 1
when 1
where 1
which 2
while 1
who 9
will 3
with 2
wooden 3
work 1
worked 1
worst 2
wounds 2
