1662948
/m/02p4psr
/m/02p4psr
Isaac Asimov
1952
200 1
52 1
7000 1
a 12
about 1
according 1
accuses 1
act 1
ad 1
admits 1
after 2
agrees 1
agronomist 1
alias 1
all 3
allowed 1
also 1
among 1
amount 1
an 3
and 22
announces 1
another 1
answers 1
anyway 1
apparently 1
appears 1
are 2
around 1
arranges 1
as 7
asks 1
assistant 1
asteroid 1
at 5
attack 1
augustus 1
be 2
because 1
been 1
beginning 1
believes 1
bellicose 1
below 1
belt 1
benson 11
bigman 11
biophysicist 1
blackandwhite 1
blacklisted 1
blaster 1
blinds 1
bomb 1
booktapes 1
boots 1
boss 2
both 1
building 1
but 2
by 6
called 1
came 2
captured 1
caverns 1
characters 1
city 2
claims 1
colorless 1
confession 1
confronts 2
connection 2
conspiracy 1
contact 1
control 3
conway 2
council 5
crevasse 4
curious 1
david 3
day 2
deadline 1
death 1
deaths 3
decides 1
declared 1
deliberately 1
descends 1
despite 1
died 1
dies 1
discover 1
discovers 1
disguise 3
disguised 1
dome 1
domed 1
dr 1
drive 1
during 1
dust 1
earth 2
earthmen 1
eating 1
emergency 1
employment 1
enters 2
entrance 1
expires 1
explain 1
exported 1
exports 1
failed 1
falls 1
farm 8
farmboy 1
farming 2
farmlands 1
farms 3
fear 1
fell 1
field 1
firing 1
first 1
five 1
following 1
food 9
for 4
forbidden 1
force 1
former 1
four 1
frighten 1
from 10
gains 1
give 2
gives 1
gone 1
government 1
gravity 1
griswold 3
guardians 1
has 4
have 1
he 15
hector 1
henchmen 1
hennes 12
henree 2
him 13
himself 3
his 8
hours 1
how 1
human 1
humanity 2
humans 1
if 1
immaterial 1
in 10
increase 1
instituted 1
intelligences 1
intelligent 1
intervenes 1
into 3
introduces 1
is 8
it 2
its 1
john 1
join 1
joins 1
jones 2
keep 1
kept 1
know 1
last 1
later 2
learns 1
leave 1
leaves 1
let 1
letter 1
library 1
living 1
loses 1
main 1
makes 1
makian 7
man 1
mars 7
martian 7
martians 2
martiansdisembodied 1
mask 4
masked 1
meet 1
meeting 1
meets 2
membership 1
minions 1
missing 1
money 1
months 1
most 1
mr 1
mystery 1
name 1
native 1
nearly 1
next 2
night 1
not 1
nothing 1
novel 1
nuclear 1
obtain 1
of 23
offered 1
offers 1
on 5
once 1
one 1
orbiting 1
order 1
orders 1
organization 1
orphaned 1
other 3
out 1
outside 1
over 1
owned 1
owners 3
pace 1
part 2
people 2
personal 1
persuades 1
planet 1
planets 1
poisoned 4
poisoner 2
poisoning 3
poisonings 1
positions 1
powerful 1
pretended 1
pretending 1
produce 1
protagonist 1
publicly 1
qualified 1
questioned 1
raised 1
ranger 3
rationing 1
realizes 1
received 1
receives 1
recognized 2
references 1
removed 1
return 1
returned 1
returns 1
reveals 3
ridiculously 1
samples 1
sandcar 2
science 4
searches 1
secretly 1
seeing 1
sending 1
sends 1
series 1
set 1
setting 1
settlements 1
several 2
shield 1
shoot 1
silvers 3
sister 1
small 1
solar 2
solved 1
some 2
something 1
space 3
speak 1
spread 1
starr 24
stars 1
stated 1
states 1
stop 1
storm 2
struggle 1
stunned 1
suggests 1
sums 1
suppresses 1
surface 2
surrender 1
survey 2
survived 1
syndicates 2
system 4
take 3
takes 1
tells 1
that 18
the 65
their 2
then 3
they 1
thirtysix 1
thousand 1
thousandfold 1
threats 1
three 1
through 2
time 1
to 26
travels 2
tries 1
truthfully 1
undercover 1
undisguised 1
uniquely 1
unless 1
uses 1
victims 1
wakes 1
warn 1
warns 1
was 3
weights 1
well 1
when 5
where 1
whereas 1
wherefore 2
whereupon 2
which 2
while 4
who 6
whom 1
whose 1
will 6
williams 2
wingrad 2
with 5
within 1
without 1
worlds 1
years 1
younger 1
