6103625
/m/0fq8m2
/m/0fq8m2
Clifford Chase

{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
678 1
a 15
abandons 1
able 2
above 1
accept 1
accepting 1
accused 1
acknowledging 1
after 8
again 1
against 1
albeit 1
all 1
alone 2
already 1
altogether 1
an 2
and 25
anger 1
any 1
apparition 1
appeared 1
around 1
arrest 1
arrested 1
arrives 1
as 5
assistant 1
at 2
ate 1
audience 1
author 1
away 2
baby 7
back 2
bail 1
be 3
bear 2
bedroom 1
before 3
began 3
being 2
berries 3
betrayed 2
between 1
boiling 1
bombs 1
book 1
books 1
boy 1
brightly 1
brought 1
brown 1
burst 1
but 1
by 7
cairo 1
called 2
calls 1
came 1
cans 1
changed 1
charges 2
charles 1
chase 1
children 3
chose 1
cleaning 1
cliff 3
clifford 1
climbing 1
committee 1
consciousness 1
continued 1
court 2
crawl 1
crawling 1
croons 1
daughter 2
day 1
days 3
dead 1
deadlock 1
decided 1
decides 1
defacate 1
deliberately 1
depressed 1
died 1
different 1
disappearance 1
disappeared 3
disappointed 1
disposed 1
distract 1
distraught 1
do 1
doodoo 2
down 1
dream 1
dresser 1
during 1
eat 1
eating 2
eats 1
egypt 1
else 1
encounter 1
end 1
ended 1
english 1
evening 1
everything 2
evidences 1
excruciating 1
existence 1
expected 1
fathermother 1
feelings 1
feels 1
fell 1
felt 3
finally 1
find 5
first 3
five 1
following 1
for 8
force 1
forest 3
forever 1
forget 1
franoise 1
free 2
freedom 2
from 6
fulfill 1
fulfilling 2
garbage 1
gender 1
get 1
gift 1
given 2
glowing 1
go 2
goes 2
gone 2
ground 1
grow 1
had 1
hands 1
happened 1
has 1
having 1
he 38
heard 1
hearings 1
heenh 3
her 4
here 2
him 7
himself 1
his 18
hope 1
hoping 1
however 3
hug 1
hum 1
humans 1
hut 2
ignores 1
imprisoned 1
imprisonment 1
in 17
including 1
innocence 1
innocent 1
insecure 1
inside 1
instead 1
intensifying 1
into 2
is 9
it 3
its 1
judy 1
jury 1
just 1
kidnapped 2
knew 2
language 1
last 1
latter 1
lawn 1
lawns 1
laying 1
lead 1
leaving 1
left 2
lesbian 1
life 3
like 1
live 1
lived 1
lives 1
living 1
look 1
lose 1
love 1
mad 1
made 1
mailing 1
making 2
marie 4
mark 1
meaning 1
meantime 1
mended 1
mess 1
met 1
miraculously 1
months 3
more 2
most 1
movement 1
mysterious 1
name 1
named 1
nearby 1
neighborhood 1
night 1
nine 1
no 1
not 1
nothing 2
noticing 1
novel 1
of 18
off 2
old 2
on 10
one 3
only 6
onto 1
open 1
other 3
others 1
out 2
outside 1
over 3
owner 1
owners 1
ownership 1
paid 1
pain 2
passed 2
peacefully 1
peak 1
pods 1
police 1
proceeded 1
professor 4
prosecutor 2
purity 1
ran 1
reached 1
really 1
regained 1
remember 1
resolved 1
return 1
rock 1
rolling 1
ruth 4
said 2
same 1
scaring 1
seams 1
second 1
seeing 1
shatters 1
she 3
shelf 1
shining 1
shot 1
sitting 1
sleeping 1
sodomy 1
some 2
sometimes 1
sound 1
speaks 1
special 1
speech 1
still 1
stomach 1
stomachache 1
story 1
stuttering 1
sure 1
sweet 1
teddy 2
terrible 1
terrorism 1
terrorist 1
terrorists 1
that 12
the 51
them 1
then 13
there 2
they 1
think 1
thinking 1
third 1
this 1
thought 1
thousand 1
three 2
to 30
torn 1
toy 1
transforms 1
traveled 1
treason 1
tree 2
trial 1
tried 1
trying 1
turned 1
turning 1
twentyfifth 1
two 2
underneath 1
understand 1
unexplainable 1
until 2
unwin 1
up 2
vines 1
waken 1
walking 1
was 19
were 1
when 3
where 3
which 2
who 3
why 1
will 3
window 1
winkie 30
wish 2
wishes 1
witchcraft 1
with 5
withholding 1
woman 5
woods 1
world 1
would 1
years 1
yelp 1
yet 1
youngest 1
