17612031
/m/0466f2x
/m/0466f2x
Jacqueline Wilson
2002
a 11
abducted 1
about 3
abusive 1
accused 1
advantage 1
affair 1
after 4
aid 1
alcoholism 1
all 1
allegedly 1
although 2
amsterdam 1
an 2
and 20
anne 4
anymore 1
appeal 1
are 2
around 1
arrest 1
as 4
at 3
attic 2
au 1
australia 1
away 2
back 1
battle 1
be 2
because 1
been 1
begins 2
belt 1
best 2
between 1
boarding 1
book 2
both 3
bright 1
broadcast 1
businessman 1
but 3
by 3
call 1
campaigntreasure 1
can 1
cannot 1
cant 1
career 1
chapter 1
charismatic 1
choice 1
chris 1
clear 1
clothes 1
coast 1
collect 1
comfort 1
coming 2
complete 1
considers 1
controlling 1
convince 1
coping 1
course 1
cry 1
custody 1
dad 1
day 1
decides 1
declares 1
demanding 1
designer 2
diary 1
discloses 1
divorce 1
does 1
doesent 1
down 1
drinking 1
dutch 1
each 1
embarrassing 1
embezzlement 1
encouraged 1
end 1
escaped 1
estate 3
eventually 1
everyone 1
fact 1
fails 1
family 2
fashion 1
father 3
find 1
finds 1
flat 1
foot 1
for 2
forehead 1
frank 3
friend 3
friendship 1
from 2
get 1
getting 1
girls 1
go 1
goes 1
going 1
granddaughter 1
grandmother 2
has 6
hates 1
having 1
he 1
heart 1
her 44
heroine 1
herself 1
hide 1
his 1
hit 1
home 4
horrified 2
house 1
however 1
hug 1
idolize 1
impressed 1
in 9
inattention 1
incident 1
including 1
india 18
instantly 1
into 1
involvement 1
is 20
it 3
keep 1
kidnapping 1
kids 1
know 2
knowing 1
last 1
latimer 2
leads 1
lends 1
life 1
lifestyle 1
like 1
live 1
lives 3
love 1
makes 1
may 1
meanwhile 2
meets 1
michael 1
miserable 1
model 1
mother 4
moya 2
much 1
mum 3
mumbly 1
nan 4
narrowly 1
necessary 1
neighbour 1
new 2
news 2
nightmares 1
no 1
now 2
of 11
off 1
on 3
one 1
only 2
other 2
out 3
own 1
pair 1
parents 3
parkfield 1
particularly 1
passing 1
phone 1
photoshoot 1
posh 1
pregnancy 1
pregnant 1
problem 2
problems 1
promises 1
protect 1
proves 1
psychology 1
pursue 1
puts 1
quiet 1
read 1
receives 1
rereading 1
results 1
reveal 1
revealing 1
revelation 1
rita 4
run 1
safe 1
scarring 1
school 4
scolds 1
secret 2
sends 1
sent 1
sets 1
she 11
shows 1
sight 1
son 1
source 1
spite 1
spot 1
spotted 1
spread 1
states 1
stay 1
stepfather 2
still 2
story 1
suspect 1
take 1
taken 1
takes 4
tell 1
telling 1
tells 1
terminating 1
terrible 1
terry 7
that 10
the 25
their 3
them 1
therapist 1
they 3
through 1
to 25
told 1
too 1
treasure 18
truth 2
two 1
unpopular 1
until 1
up 1
upperclass 1
upton 2
very 2
visit 1
walk 1
wanda 6
want 1
wants 1
was 1
wasnt 1
watkins 1
we 1
weight 1
well 1
when 2
where 4
which 2
while 2
whips 1
who 4
whom 2
wins 1
with 11
word 1
working 1
worried 1
