14160671
/m/03cwf3z
/m/03cwf3z
Alistair MacLean
1961
a 8
about 2
actually 1
advertisements 1
after 1
agent 2
all 3
although 1
an 3
and 5
another 1
applicants 1
archaeologist 1
are 1
arrive 1
as 3
at 1
atoll 1
attractive 1
australia 1
be 1
becomes 1
been 1
behind 1
bentall 9
between 1
boat 1
bond 1
boss 1
british 3
but 4
children 1
chose 1
classified 1
complicated 1
considerable 1
coral 1
counterespionage 1
crusader 1
currently 1
dark 1
deployed 1
details 1
device 1
different 1
disappear 1
disappeared 1
discovers 1
double 1
dr 1
duties 1
eight 2
either 1
emotional 1
en 1
ending 1
endings 1
ends 1
escape 1
even 2
falling 1
female 1
fields 1
fiji 1
finally 1
find 1
finds 1
fool 1
for 5
foreign 1
from 2
gets 1
has 1
have 2
highly 1
him 1
his 2
home 1
hopeman 4
however 1
in 10
information 1
involving 1
is 7
island 2
it 1
james 1
kidnapped 1
last 1
later 1
leclerc 1
level 1
literary 1
london 1
love 1
maclean 1
marie 1
married 1
mastermind 1
middle 1
missile 2
missiles 1
missilethe 1
mission 1
more 1
much 1
must 1
neither 1
newspapers 1
no 3
nor 1
not 1
note 1
novel 1
ocean 1
of 7
offering 1
one 1
or 2
pacific 1
packs 1
paired 1
pay 1
physicist 1
placed 1
plot 4
posing 1
position 1
power 1
precondition 1
preventing 1
professor 1
punch 1
quite 1
radio 1
rates 1
really 1
recalled 1
remote 1
research 1
responding 1
route 1
saving 1
scheduled 1
scientists 3
second 1
seems 1
selfdeprecating 1
situation 1
some 1
something 1
standard 1
start 1
steal 2
stop 1
stumbling 1
suddenly 1
suspicious 1
technology 1
that 5
the 18
theft 2
themselves 1
there 2
they 1
things 1
three 1
to 9
top 2
transmitter 1
try 1
turkey 1
two 1
typically 1
unnamed 1
unravel 1
unravels 1
unscheduled 1
up 1
vardu 2
very 1
villains 1
want 1
weeks 1
when 1
which 2
who 1
wife 1
with 5
witherspoon 3
wrong 1
