9248361
/m/0281krj
/m/0281krj
Warren Ellis
2007-07-24
a 7
across 1
adventures 1
along 1
america 1
as 1
been 1
burnedout 1
by 3
chief 1
college 1
constitution 1
corrupt 1
deal 1
describes 1
events 1
exposing 1
eye 1
fetishes 1
find 1
following 1
follows 1
goes 1
had 1
has 1
he 2
him 1
himself 1
hired 1
his 1
hitmagnet 1
house 1
hunt 1
in 1
is 4
its 1
joined 1
lost 1
mcgill 3
michael 1
nixon 1
of 1
on 1
phenomena 1
private 1
richard 1
scavenger 1
second 1
secret 1
seedier 1
sexual 1
side 1
sidekick 1
sometimes 1
staff 1
states 1
strange 1
student 1
surreal 1
the 1
thesis 1
to 3
trix 1
united 1
unrelated 1
way 1
weird 1
what 1
wherever 1
which 1
white 1
who 1
whorehouse 1
with 2
writing 1
