5155156
/m/0d5bb9
/m/0d5bb9
Christopher Rowley
1997
a 3
after 1
alone 1
an 3
and 5
appreciative 1
ardu 3
argonath 1
attack 1
base 1
bazil 3
bearing 1
been 1
betrayed 1
bogon 1
bring 1
by 2
carry 1
causes 1
city 1
comes 1
continent 1
created 1
dark 1
dinosaurian 1
discovers 1
distress 1
down 1
dragonboy 1
dragonboys 1
dream 1
during 1
eigo 1
elf 3
encounter 1
end 1
evil 1
female 1
fight 1
find 1
from 2
game 1
great 2
has 1
he 2
her 2
him 1
his 1
in 3
inhabits 1
is 2
itself 1
journey 1
king 1
land 1
leads 1
learn 1
live 1
lord 1
lords 2
love 1
lumbee 1
manages 1
marches 1
member 1
members 1
mirchaz 3
much 1
occupies 1
of 6
off 2
og 1
on 3
pair 1
race 1
relkin 3
rescue 1
return 1
rule 1
save 1
slavers 2
sold 1
state 1
survival 1
tailed 2
that 3
the 16
their 3
then 1
they 3
to 8
trapped 2
treasure 1
tribe 2
victory 1
when 2
who 1
wildlife 1
with 1
woman 1
world 1
