19046625
/m/04jj08k
/m/04jj08k
David Drake
1988
{"/m/06n90": "Science Fiction"}
a 5
across 1
adversaries 1
aid 1
and 5
any 1
arrive 1
as 1
bargain 1
before 1
between 1
both 1
by 1
captain 1
cecach 1
civil 1
company 6
control 1
cut 1
decides 1
different 1
enemy 1
execute 1
fall 1
fasolini 5
federal 4
federals 3
fighting 1
firebase 3
flee 1
follows 1
forlorn 1
fortunes 1
freighter 1
hammer 1
hands 1
has 1
have 1
heavy 1
hope 1
in 1
intact 1
interstellar 1
into 1
is 2
it 1
lines 2
logistics 1
loyal 2
march 1
mercenaries 1
mercenary 1
must 2
named 1
of 5
off 1
offering 1
officer 1
on 1
part 1
planet 2
provide 1
raged 1
reach 1
religious 1
republican 1
republicans 5
safety 1
secular 1
set 1
since 1
slammers 1
still 1
support 1
surrender 1
surrounded 1
take 1
that 1
the 19
their 2
to 6
trapped 1
troops 1
turncoat 1
universe 1
vowed 1
war 1
when 1
who 1
with 1
zealot 1
