3007716
/m/08k6dx
/m/08k6dx
Huey Long


136 1
a 1
also 1
and 2
approaching 1
are 1
as 1
aspirations 1
attorney 1
bible 1
borah 1
brothers 1
brown 1
butler 1
cabinet 1
commerce 1
conversations 1
couzens 1
d 1
detailed 1
detailing 1
details 1
edgar 1
edward 1
elections 1
executive 1
fantasizes 1
fantasy 1
father 1
for 1
frank 1
franklin 1
general 1
governor 1
had 1
he 3
herbert 1
him 1
his 6
hoover 1
huey 1
imaginary 1
in 2
inauguration 1
including 1
interior 1
is 1
j 1
james 1
keating 1
labor 1
long 2
louisiana 1
lytle 1
men 1
murphy 1
navy 1
nomination 1
of 10
on 1
picks 1
plan 1
political 1
power 1
presented 1
president 2
presidential 1
read 1
roosevelt 1
secretary 7
share 1
sisters 1
smedley 1
state 1
states 2
swear 1
that 1
the 9
through 1
to 1
treasury 1
united 2
war 1
wealth 1
which 1
william 1
with 1
would 1
