7122470
/m/0h5800
/m/0h5800
Adam Roberts
2000-06-20
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 4
all 1
als 1
an 1
anarchy 1
and 3
are 1
around 1
aspects 1
austere 1
between 1
but 1
character 1
colonisation 1
colonists 1
composition 1
constructed 1
course 1
develop 1
development 1
dictatorship 1
distant 1
dreadful 1
during 2
earth 1
entwined 1
environment 1
explores 1
factional 1
for 1
from 1
grudge 1
illuminate 1
in 1
inevitability 1
into 2
irrevocable 1
is 1
military 1
motivations 1
narrators 1
novel 1
of 6
old 1
out 2
planet 1
play 1
prose 1
quickly 1
rigid 1
roughshod 1
salt 2
senaar 1
set 1
setting 1
settlements 2
skirmish 1
soon 1
stark 1
sterile 1
style 1
tensions 1
the 9
their 2
theme 1
these 1
to 1
turns 1
two 2
very 1
viewpoints 1
voyage 1
war 1
warfare 1
yet 1
