25938098
/m/0b6h_pv
/m/0b6h_pv
Isobelle Carmody
1997-09-01
{"/m/01hmnh": "Fantasy", "/m/03mfnf": "Young adult literature"}
a 4
account 1
action 1
adventure 1
aftermath 1
and 3
are 1
at 1
be 1
caused 1
context 1
death 1
described 1
discovers 1
do 1
ellen 1
experiences 1
explore 1
father 1
from 1
girl 1
greylands 2
has 2
he 1
him 1
himself 1
his 4
in 2
into 1
inventing 1
is 4
jack 4
may 1
meets 1
mirror 1
mother 1
much 1
mystery 2
novel 1
of 6
on 1
or 1
other 1
place 1
point 1
risk 1
side 1
sister 1
some 1
something 1
soul 1
story 1
strange 1
suffering 1
takes 1
that 1
the 8
their 2
there 1
these 1
to 4
tries 1
true 1
unsolved 1
view 1
where 1
which 2
with 1
withdraw 1
within 1
world 1
