2770911
/m/081pvy
/m/081pvy
James Frey
2003-04-15
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/016chh": "Memoir"}
23 1
a 10
able 1
abuse 1
addict 2
after 1
agonizing 1
airplane 1
airport 1
alcohol 1
alcoholic 1
allows 1
also 4
an 4
and 11
anesthesia 1
antagonist 1
any 1
appearance 1
as 5
at 2
author 1
awakens 1
badly 1
balls 1
be 2
because 2
been 2
believes 1
better 1
between 2
book 4
boss 1
both 1
but 1
by 3
canal 1
canals 1
capitalizing 1
cause 1
center 2
challenged 1
charges 1
checks 1
chicago 1
clinic 6
confusing 1
consciousness 1
contact 1
copes 1
could 1
crack 2
desire 2
despite 2
different 1
direct 2
discourse 2
drink 1
drug 1
drugs 2
during 2
each 1
ended 1
event 1
events 1
eventual 1
experience 1
experiences 1
fact 1
falls 1
family 1
feature 1
fighting 1
finally 1
find 2
follows 1
for 3
forbidding 1
forced 2
forms 1
frequent 1
frey 8
friend 1
from 2
fury 2
gives 1
has 1
have 2
he 15
heavy 1
him 1
himself 1
his 18
how 1
ignore 1
important 1
in 8
incident 1
include 1
included 1
including 1
incredibly 1
indicate 2
injuries 1
instead 1
interesting 1
internal 1
interspersed 1
into 1
involves 1
is 9
it 4
its 1
james 3
kill 1
lack 1
later 1
lead 1
learns 1
leonard 1
life 2
line 1
love 1
mafia 1
makes 1
many 1
marks 1
may 3
meets 1
men 1
met 1
more 1
my 1
nails 1
nature 1
negative 1
never 1
new 1
no 1
not 3
notable 1
nouns 1
novel 2
novocaine 1
of 16
often 1
old 1
on 4
one 1
oprah 1
or 3
others 1
out 2
pain 1
painful 2
parents 2
part 1
participation 1
people 2
pieces 1
plane 1
play 1
plays 1
police 1
possible 1
probably 1
procedure 1
program 1
purportedly 1
quit 1
quotation 1
reactions 1
reader 1
reasons 1
recollection 1
recover 1
recovers 1
recovery 1
reflecting 1
rehab 1
rehabilitation 1
relapses 1
relationships 1
release 1
remembers 1
repetition 1
role 2
root 2
rules 1
said 1
same 1
saves 1
second 1
seen 1
sees 1
series 1
several 1
sometimes 1
speaks 1
specifically 1
squeezing 1
started 1
states 1
stream 1
strict 1
strong 1
style 3
subject 1
subsequent 1
substance 1
take 1
tattered 1
technique 1
ten 1
tennis 1
text 1
than 1
that 6
the 29
these 1
this 4
thoughts 1
three 2
through 1
throughout 3
time 2
to 13
transition 1
treatment 1
unclear 1
undergo 1
understand 1
unique 2
until 2
up 2
use 2
uses 2
version 1
vital 1
wanted 1
we 2
when 1
which 2
who 3
whom 2
will 1
with 5
without 1
woman 1
women 1
words 1
writing 3
years 2
