34163657
/m/0hr8wmj
/m/0hr8wmj
Guy Delisle

{"/m/016chh": "Memoir", "/m/0py0z": "Graphic novel"}
absent 1
administrator 1
an 2
and 3
around 1
as 2
asian 1
at 1
beginning 1
book 1
burma 1
business 1
but 1
by 2
care 1
controls 1
countries 1
country 1
delisle 2
do 1
family 1
for 2
frequent 1
frequently 1
frontires 1
guest 1
guy 3
his 3
home 1
house 1
housing 1
in 2
infant 1
interacts 1
is 3
it 1
junta 1
local 1
louis 3
mdecins 1
military 1
more 1
msf 3
must 1
myanmar 1
nadge 2
nations 1
neighborhood 1
not 1
of 2
officially 1
on 2
people 1
permanent 1
recognize 1
recognized 1
recounts 1
referred 1
sans 1
search 1
son 1
southeast 1
stay 1
stays 1
stroller 1
takes 2
that 4
the 8
they 1
to 2
trip 2
united 1
walks 1
went 1
while 2
wife 1
with 2
