9759918
/m/02prbpd
/m/02prbpd
Rebecca Gilman

a 6
accepts 1
all 1
always 1
and 7
apartment 1
as 4
at 2
avoid 1
awkward 2
beck 2
being 1
blind 1
both 1
but 2
by 2
calls 1
can 1
changes 1
changing 1
city 1
colleagues 1
common 1
computer 1
continues 1
control 1
couple 1
coworker 1
date 4
denver 1
despite 1
do 1
efforts 1
end 1
even 1
eventually 2
everything 1
excuses 1
find 1
for 1
friend 1
from 2
further 1
guy 1
has 1
have 1
he 2
her 11
herself 1
hiding 1
him 1
home 1
humanity 1
identity 1
in 3
including 1
industry 1
into 1
intrude 1
investigates 1
is 3
it 1
knows 1
life 2
lives 1
loses 1
messages 1
midwest 1
moves 1
moving 1
much 1
name 2
named 1
new 1
nice 1
not 3
of 4
office 1
officer 1
on 1
once 1
opening 1
out 2
over 1
phone 1
police 2
politely 1
realizes 4
right 1
second 1
sets 1
shadow 1
she 8
starts 1
such 1
suggests 1
that 4
the 7
there 1
theresa 4
theresas 2
they 1
things 1
this 1
to 6
tony 3
too 1
unexpected 1
unsettling 1
up 2
urging 1
visits 1
was 1
when 1
where 1
who 1
will 2
with 2
woman 1
work 1
works 1
worry 1
york 1
