1184901
/m/04fdlm
/m/04fdlm
Ivan Turgenev
1860-12
16yearold 1
21yearold 1
a 18
adulthood 1
affection 1
affections 1
afforded 1
after 1
alexandrovna 1
an 1
and 9
are 2
arm 2
as 2
at 1
beautiful 1
because 2
beginning 1
begs 1
between 1
bounds 1
but 1
capricious 1
case 1
chapters 1
childbirth 1
closing 1
comes 1
comparative 1
conclusion 1
considerable 1
continues 1
contrast 1
country 1
crop 1
days 1
death 1
degree 1
devastatingly 1
dies 1
difficult 1
discovers 1
distressing 1
dolsky 1
door 1
down 1
during 1
early 1
efforts 1
eight 1
eligible 1
eventually 1
example 1
fails 1
falls 1
family 3
father 3
favor 1
favour 1
final 1
first 3
for 2
four 1
frame 1
from 2
fruitless 1
guests 1
has 1
he 3
her 6
him 1
his 9
house 2
in 9
into 1
is 7
it 1
joins 1
kisses 1
lady 1
later 3
learns 1
letter 1
long 1
love 4
loves 1
lovestruck 1
many 1
marriage 1
meeting 1
meets 1
memory 1
minor 1
misleading 1
mistress 1
mocking 1
money 1
monsieur 1
months 1
more 1
moscow 2
mother 1
next 1
nobility 1
notebook 2
object 2
observes 1
of 15
often 2
on 1
only 1
or 1
other 1
own 1
party 2
petrovich 2
playful 1
poor 1
princess 1
protagonist 1
pyotr 4
rather 3
receives 1
reciprocate 1
recounting 1
recounts 1
respectability 1
revealed 2
riding 1
royal 1
russian 1
secretly 1
sends 1
set 1
several 2
she 1
socially 1
somewhat 1
starts 1
staying 2
stories 1
story 8
strikes 1
stroke 1
subsequent 1
succinct 1
suggests 1
suitors 2
sum 1
taking 1
tale 1
tearfully 1
tell 1
that 3
the 22
their 3
then 1
these 1
this 2
thoroughly 1
three 1
throughout 1
ties 1
time 1
titles 1
to 7
tragic 2
true 2
turn 1
turns 1
two 1
unusual 1
vasilyevich 1
very 1
vladimir 9
welt 1
were 1
when 1
which 3
who 1
whom 1
wife 2
window 1
with 7
within 1
woman 1
write 1
years 1
young 2
youth 1
zasyekina 2
zasyekins 1
zinaida 7
