34033776
/m/0hrg1dv
/m/0hrg1dv
Alfred Döblin

{"/m/05hgj": "Novel"}
a 11
aboard 1
accompanied 1
acquaintance 1
advanced 1
africanthemed 1
after 1
aftermath 1
america 1
an 4
and 8
approach 1
arrest 1
as 2
at 2
attempts 2
be 1
been 1
begin 2
being 1
berlin 1
birthday 1
bought 1
bound 1
breakdown 1
broken 1
business 1
by 3
can 1
career 1
charged 1
comes 1
company 2
concern 1
correspondence 1
daughter 1
debauch 1
delusional 1
desperation 1
educationwadzek 1
effort 1
eloping 1
ends 1
engineer 1
engines 1
entrepreneur 1
erotically 1
erstwhile 1
estranged 1
even 1
exotically 1
factories 1
factory 1
family 1
fearing 1
financially 1
first 1
flees 1
follows 1
for 4
fortify 1
friends 1
from 1
further 1
gaby 1
has 1
he 1
held 2
her 1
herta 1
himself 1
his 7
house 2
however 1
humane 1
in 9
includes 1
instruct 1
is 2
issued 1
larger 1
learn 1
legal 1
less 1
life 1
locked 1
losing 1
lover 1
manufactures 1
men 1
misguided 1
moralistic 1
more 2
much 1
never 1
new 5
no 1
novel 2
of 8
old 1
on 1
one 1
opens 1
own 1
owner 1
parlor 1
party 1
pauline 2
police 1
powerful 1
preparation 1
produces 1
reconciliation 1
reinickendorf 2
representing 1
retribution 1
returns 1
rival 1
rommel 6
schneemann 3
scrupulous 1
seen 1
ship 1
siege 1
some 1
spiritually 1
station 1
steam 1
stock 1
struggle 1
students 1
suffers 1
takeover 1
teams 1
technologically 1
technology 1
temporary 1
than 1
that 3
the 8
theft 2
their 1
there 1
they 1
this 2
thwart 1
to 7
turbines 1
turn 1
two 2
type 1
up 2
value 1
wadzek 8
walking 1
warrant 1
where 2
whose 1
wife 1
with 7
working 1
would 1
