13561482
/m/03c9d_p
/m/03c9d_p
Carlos Fuentes

34to 1
3old 1
a 11
about 1
accept 1
across 1
all 1
american 2
an 3
and 6
any 1
appreciate 1
army 4
around 1
arrived 1
arroyo 8
as 8
asked 1
at 2
attempting 1
become 1
been 1
begins 1
behind 1
both 1
burns 1
by 7
change 1
chaos 1
children 1
chooses 1
civilize 1
close 1
comes 1
committed 1
continue 1
corrupted 1
crime 1
culture 1
dc 1
death 1
deaths 1
decides 2
deed 1
do 1
documents 1
dryly 1
earlier 1
early 1
education 1
elderly 1
empire 1
encouraging 1
end 1
ends 1
estate 1
eventually 1
executed 1
explores 1
family 1
father 1
few 1
finally 1
finds 1
first 1
fled 1
follow 1
followed 1
for 2
from 2
fuentes3 1
general 2
glorious 1
goals 1
going 1
good 1
gringo 1
gringo3 1
group 1
hacienda 1
had 4
harriet 1
has 2
he 2
hearst 1
her 2
him 1
hired 1
his 3
historical 1
holding 1
household 1
how 1
however 1
ideals 1
in 3
indian 1
instead 1
is 3
journalist 1
just 1
land 1
landowning 1
later 1
learn 2
leave 2
led 1
lessons 1
liberated 1
life 1
like 1
live 1
long 1
man 4
many 1
massive 1
means 2
media 1
meets 2
mestizo 1
mexican 3
mexico 1
mexico34 1
midst 1
miranda 3
mirandas 1
mother 1
murdering 1
need 1
not 1
novel 3
of 13
old 6
on 1
once 1
owned 1
pancho 2
parents 1
part 1
particular 1
past 1
patronizing 1
people 2
precisely 1
preventing 1
product 1
progresses 1
pursue 1
rape 1
rather 1
responds 1
response 1
revolution 3
revolutionary 2
rifles 1
same 1
saying 1
scrubbing 1
see 1
seek 1
servant 1
she 6
since 1
some 1
sons 1
states 1
suicide 1
than 1
that 2
the 30
their 1
them 1
there 1
these 1
they 1
things 1
this 4
time 1
to 12
true 1
truth 1
tutor 1
two 1
united 1
unnamed 1
up 1
view 1
villa 1
villa3s 1
wanted 1
wants 1
washington 1
way 1
we 1
wealthy 1
well 1
what 1
when 2
where 1
which 2
whose 1
widower 1
winslow 2
with 5
woman 1
worked 1
works 1
writer 1
youd 1
young 1
youre 1
