2316577
/m/07392n
/m/07392n
Beverly Cleary
1965
a 17
able 1
about 1
adventure 1
adventures 1
after 2
agrees 1
almost 1
along 1
although 2
ambulance 1
an 3
and 10
any 1
are 2
as 1
aspirin 2
at 1
attempts 1
away 2
battered 1
becomes 1
bedsheets 2
bedside 1
behind 1
being 2
bellboy 1
boy 1
brings 1
but 5
by 6
california 3
cannot 1
caused 1
chewedup 1
chewing 1
cleaner 1
colony 2
contact 1
could 1
danger 1
day 1
death 1
depths 1
dirty 1
discover 1
discovered 1
discovers 1
dont 1
during 1
elevator 1
enginelike 1
escapes 2
escaping 1
explore 1
fact 1
fall 1
family 2
fatal 1
father 1
fever 1
figure 1
for 3
found 1
friendship 1
from 1
garage 1
get 1
gridley 2
guests 1
had 1
hatching 1
have 1
he 8
health 1
high 1
him 1
himself 1
his 8
holes 1
hotel 5
how 2
humans 1
if 1
imagining 1
in 9
include 1
ingested 1
inn 1
interests 1
into 2
involves 1
is 9
it 3
keep 2
keith 12
leave 1
leaves 2
let 1
lets 1
life 1
lives 1
lobby 1
longs 1
loses 2
maid 1
management 1
matt 1
medicine 1
metal 1
mice 3
missing 1
more 1
morning 1
mother 2
motorcycle 10
motorcyclemake 1
mountain 1
mouse 3
mr 1
must 1
named 1
narrowly 1
nevada 1
night 2
nighttime 1
noiseand 1
nor 1
obtain 1
of 6
on 3
one 4
out 1
outside 1
owl 1
parents 1
pile 1
plan 1
prove 1
ralph 17
recklessly 1
regain 1
relatives 1
resort 1
restored 1
resulting 1
ride 2
rides 1
riding 2
ring 1
risk 1
room 1
rundown 1
saw 1
searches 1
service 1
set 1
she 3
sheets 1
shows 1
sick 1
sierra 1
small 1
space 1
speed 1
spotted 1
start 2
startled 1
still 2
strike 1
succeeds 1
sucked 1
sure 1
table 1
tablet 1
telephone 1
that 3
the 30
their 1
things 1
thinks 1
through 2
to 11
toy 2
trapped 1
trust 2
tv 1
two 1
under 1
unfortunately 1
until 1
up 1
use 1
uses 1
vacuum 1
venturing 1
very 1
view 1
visit 1
war 1
wastebasket 2
way 1
when 1
which 3
while 2
who 2
wishing 1
with 3
worries 1
worry 1
