16814286
/m/04075_v
/m/04075_v
Victor Appleton
1914
a 7
about 2
accident 1
acknowledge 1
adamant 1
airships 1
all 1
allow 1
almost 1
and 8
animosity 1
anyone 1
are 3
arguing 1
as 3
back 1
begins 1
between 3
boat 1
but 1
buy 1
by 2
conartist 1
damon 2
deeper 1
desperately 1
difference 1
disappears 1
down 1
event 1
father 1
feud 1
financial 1
for 1
friend 1
functional 1
get 1
gets 1
good 1
grows 1
guise 1
happening 1
has 1
having 1
himself 1
his 5
idea 2
ideas 1
in 4
infuriates 1
invention 1
inventions 1
is 5
known 1
later 1
latest 2
learns 1
lines 1
making 1
meantime 1
mind 1
motor 1
mr 7
ned 1
neighborhood 1
news 1
no 1
not 1
occurrences 1
of 4
one 1
only 1
operated 1
other 1
out 1
over 2
patents 1
permissions 1
peters 5
photo 1
photograph 1
plot 1
profit 1
read 1
recent 1
refuses 3
run 1
serious 1
shady 1
shallock 1
some 3
speeding 1
stolen 1
swift 1
telegraph 1
telegraphs 1
telephone 2
than 1
that 2
the 10
then 1
there 1
thicker 2
this 2
those 1
to 7
tom 11
transmitted 1
tries 1
troubles 1
trying 1
two 1
under 1
unexpectedly 1
used 2
was 1
when 1
where 1
while 1
will 1
wires 1
work 1
working 1
