26639413
/m/0bhc28n
/m/0bhc28n
Gloria Whelan
2005
{"/m/0hwxm": "Historical novel"}
11 1
13 1
a 3
addition 1
address 1
adopted 1
africa 1
after 1
already 1
among 1
an 3
and 9
area 1
arrives 1
as 3
at 1
attends 1
away 1
becomes 1
begin 1
begins 1
being 1
better 1
birds 1
british 2
but 2
cause 1
child 1
churchwork 1
close 1
come 2
comes 1
considers 1
daughter 3
day 1
deaths 1
develop 1
dies 3
doctor 1
dreaded 1
dying 1
east 1
emergency 1
end 1
england 2
epilogue 1
father 1
fond 1
forced 1
get 1
gives 1
goes 1
going 1
grandfather 5
grumbloch 1
have 1
haywire 1
he 2
her 8
him 1
his 5
home 1
hospital 2
hours 1
impersonate 1
in 8
influenza 1
is 6
it 1
just 1
kenya 1
kikuyu 1
later 2
left 1
lies 1
life 2
like 2
looks 1
lured 1
maasai 1
many 1
missionaries 1
mother 1
mr 1
much 1
new 1
novel 1
of 7
on 2
only 1
orphan 1
own 1
parent 1
people 1
planters 1
plot 1
presentday 1
pritchards 4
property 1
rachel 8
relationship 1
returning 1
returns 1
save 1
school 1
scorn 1
sends 1
she 2
sheridan 1
ship 1
sickness 1
solicitor 1
son 1
soon 2
strikes 1
suspected 1
take 1
teaching 1
telling 2
tells 1
the 16
their 3
them 1
there 1
they 2
things 1
to 10
told 1
tribes 1
trusty 1
truth 1
unveil 1
valerie 2
very 2
visit 1
was 1
when 2
which 2
who 3
with 2
within 2
work 1
working 1
would 1
