667283
/m/0316td
/m/0316td
Ilya Ilf
1931
{"/m/06nbt": "Satire"}
46 1
a 8
about 2
accountant 2
activities 1
advantage 1
after 1
alexandr 1
alive 1
all 1
an 4
and 7
anonymously 1
another 1
are 1
as 2
assassination 1
associates 1
be 1
bender 6
black 1
blackmails 1
book 1
border 2
both 1
business 1
but 2
by 2
can 2
car 1
cash 1
changes 1
charge 1
chernomorsk 1
city 2
collect 1
continues 1
corruption 1
country 1
criminals 1
cross 1
decides 1
donate 1
down 1
dreamt 1
driver 1
economic 2
enormous 1
enterprises 1
even 1
eventually 1
extremely 1
faces 1
fall 2
finance 1
finds 2
flee 1
fleece 1
for 3
frustrated 1
full 1
get 1
giving 1
gold 1
golden 1
government 2
guards 1
has 1
he 6
hears 1
hides 1
him 5
his 4
how 1
illegal 1
illgotten 1
in 8
information 1
innocent 1
into 2
is 1
it 1
jewels 1
job 1
keeps 1
koreiko 5
koreikos 1
large 1
leaving 1
legal 1
life 1
literally 1
living 2
made 1
make 1
management 1
medal 1
million 1
millionaire 1
millionaires 1
millions 1
mind 1
ministry 1
money 4
month 1
naive 1
named 1
nep 1
new 1
newlyconstructed 1
no 1
nothing 1
odessa 1
of 14
office 1
on 3
only 2
order 1
ostap 1
out 1
period 1
petty 1
policy 1
possible 1
previous 1
problem 1
railway 1
referring 1
rest 1
rich 2
robbed 1
romanian 2
rubles 2
sea 1
seems 1
so 1
somehow 1
soviet 2
soviets 1
spend 1
starts 1
stash 1
still 1
story 1
suddenly 1
suitcase 1
sum 1
surviving 1
taking 1
that 2
the 23
then 1
there 1
this 1
through 1
time 1
to 9
together 1
tracks 1
tries 2
truly 1
turkestan 1
turkestansiberia 1
turns 1
two 1
underground 1
union 1
use 1
various 1
wait 1
waiting 1
where 1
widespread 1
with 2
working 1
