4118403
/m/0bk2w1
/m/0bk2w1
Piers Anthony
1982-10
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
0 1
0day 1
a 19
able 1
about 2
admitted 1
after 2
again 3
against 1
all 3
also 2
although 1
an 3
ancestral 3
and 26
another 1
answer 1
anyway 1
are 3
arrive 1
as 12
assortment 1
at 5
back 5
ball 1
bashed 1
basilisk 1
battered 1
battle 1
be 1
before 1
being 2
best 1
blunder 1
blythe 1
book 1
both 1
brassie 1
bright 1
but 4
by 2
can 5
cant 1
castle 3
catch 1
centaur 1
challenges 4
chart 1
chem 2
clumsy 1
coffin 1
come 3
comes 1
commits 1
conquers 1
continue 1
converses 1
counterpart 1
crombie 1
customs 1
cut 1
dangerous 1
days 2
deal 2
decides 3
defeat 2
demon 4
destroy 1
difficulties 1
discovers 1
dissatisfaction 1
do 1
does 3
dread 2
dryad 1
due 1
during 1
each 2
elements 1
embeds 1
encounter 2
ends 1
enter 3
enters 1
entrance 1
even 1
eventually 1
except 1
exchange 1
eye 2
face 1
faces 1
fairy 1
falls 1
father 1
female 1
females 1
fiant 3
fighting 1
finally 4
find 4
finds 1
firewater 1
flash 1
flood 1
for 5
forages 1
forays 1
forgets 1
form 2
freed 1
friend 1
from 3
fulfill 1
full 1
gains 1
get 2
gets 1
give 2
gives 1
giving 1
good 3
gourd 5
gradually 1
guard 1
half 2
halfnymph 1
halfogre 1
harassed 1
has 3
having 1
he 14
head 2
help 2
helps 1
her 13
him 7
himself 2
his 17
home 2
homeworld 1
how 1
however 1
human 10
humfrey 1
humphrey 1
hypnogourd 2
ideas 1
if 1
illusion 1
illusory 1
in 9
incorrectly 1
ineffective 1
infinite 1
instead 2
intelligence 7
into 7
is 9
it 1
itself 1
jeopardy 1
john 1
journey 1
knowledge 1
last 1
later 2
leave 1
left 1
lien 2
little 1
longer 1
longtime 1
looking 3
love 3
magic 1
magical 2
magician 4
make 1
makes 1
man 1
manages 2
mapping 1
mare 3
mark 1
match 1
means 1
mermaid 1
midbattle 1
more 1
most 2
must 1
naive 1
named 1
nasty 1
navigates 1
needed 1
needing 1
needs 1
negotiate 1
new 1
newfound 1
night 5
no 3
not 2
notes 1
obstacles 1
occasional 1
of 21
off 2
ogre 7
ogres 3
on 1
once 2
one 1
only 2
or 1
order 1
others 2
out 2
overcome 1
overcoming 1
own 2
pass 1
passing 1
periodic 1
permanently 1
personal 1
pieces 1
plus 1
point 1
pond 1
price 1
problems 1
properly 1
properties 1
protect 1
provides 1
putting 1
qualities 1
questa 1
question 1
queue 2
races 1
real 1
realize 1
realizes 1
really 1
recalled 1
region 3
require 2
rhymes 1
riding 1
right 1
roogna 1
ru 1
ruler 1
run 1
sacrifices 1
saps 1
save 3
search 1
see 1
seeking 1
she 8
side 2
similarly 1
simple 1
sleep 1
smash 17
so 4
solve 2
soon 1
soul 8
spokesperson 1
spouting 1
stallion 4
starts 1
stay 1
strength 6
string 1
stubbornness 1
stun 1
stupid 1
stupidity 1
succeeds 1
such 1
switch 1
take 2
takes 1
talent 3
tandy 12
tantrums 1
telling 1
terms 1
that 5
the 49
their 2
them 1
then 1
there 1
they 10
this 2
though 5
threaten 1
through 2
throwing 1
time 2
to 40
transform 1
transforming 1
trapped 2
travel 2
traveling 1
travels 3
tree 1
true 1
trying 1
ugly 1
under 1
unfortunately 1
up 1
upon 1
useful 1
using 2
vague 1
various 3
vine 4
visit 1
void 4
want 1
wants 2
washes 1
water 1
way 4
we 1
well 2
went 1
what 1
when 2
where 2
which 3
while 1
who 3
will 1
win 1
wingless 1
wins 1
with 11
without 2
woodsmen 1
world 5
wrenched 1
xanth 2
year 1
