16695774
/m/03ync82
/m/03ync82
Andrew Crumey
2008
13yearold 1
170s 1
a 16
aesthetic 1
after 1
aged 1
alternates 1
ambivalent 1
an 4
and 7
another 1
antiamerican 1
are 2
arrival 1
arrive 1
arrived 1
as 2
astronaut 1
at 2
base 1
be 6
because 1
been 2
before 1
begs 1
believed 1
belt 1
between 1
black 2
book 11
books 1
british 1
but 2
called 1
central 1
claims 1
comic 1
communist 1
confused 1
connection 1
cosmonaut 1
could 1
course 1
coyle 2
creating 1
dark 1
death 1
democratic 1
detected 1
doctor 1
dreams 1
early 1
eastern 1
emotionally 1
engaged 1
european 1
ever 1
everything 1
except 1
explore 1
fathers 1
fiction 1
founded 1
from 3
going 1
great 1
grown 1
guessing 1
has 4
have 1
he 5
his 2
hole 2
idea 1
identity 1
imagines 1
in 15
infinite 1
installation 2
into 1
is 5
it 2
itself 1
juxtapostion 1
kenzie 1
kid 1
leave 1
left 1
like 1
lives 2
logical 1
man 1
meets 1
memories 1
middle 1
military 1
mission 2
nazi 1
new 1
nine 1
nineteenyearold 1
nobody 1
novel 1
now 1
object 1
obsessed 1
occupation 1
of 13
old 1
older 1
on 1
one 6
or 2
other 1
outside 1
overthrow 1
parallel 1
parallelworld 1
parents 1
part 1
patriotic 1
pensioners 1
people 1
perhaps 3
pessimism 1
picks 1
planet 1
possible 1
presentday 1
prosoviet 1
radio 1
rather 1
reader 1
reality 1
recognisable 1
recurred 1
red 1
reprises 1
republic 1
resisting 1
resolution 1
reworks 1
robbie 3
robbies 1
robert 4
runaway 1
science 1
scotland 1
scotlands 1
secret 1
seems 1
sense 1
signal 1
solar 1
space 2
spaceman 1
star 1
start 1
state 1
station 1
stories 1
story 1
strange 1
stranger 2
such 1
system 1
take 1
taken 1
telepathic 1
telepathically 1
terrorist 1
than 1
that 5
the 30
theft 1
their 1
themes 1
there 1
three 1
throughout 1
time 1
to 9
tone 1
transported 1
two 4
unity 1
universe 1
up 1
version 1
views 1
voice 1
volunteers 1
wants 1
war 1
who 2
wished 1
with 4
world 1
years 1
younger 1
