294171
/m/01q_5b
/m/01q_5b
Shi Naian


0 1
001 1
1 1
100 2
108 2
120 1
1213 1
1320 1
2 1
2022 1
23 1
2332 1
3235 1
3643 1
37 1
40 1
4447 1
4750 1
5152 1
5355 1
5557 1
560 1
575 1
60 1
6067 1
67 1
670 1
68 1
70 1
712 1
7174 1
7578 1
7880 1
8182 1
838 1
a 9
abandons 1
abuses 1
acceptance 1
advocates 1
after 5
against 4
allows 1
almost 1
amnesty 4
among 1
an 2
ancient 1
and 18
another 1
antagonist 1
antagonists 1
antics 1
are 5
armies 1
army 1
arrest 1
as 9
assassination 1
assault 7
assaults 1
assembly 2
at 2
attack 7
attempted 1
authorities 1
band 3
based 1
battle 1
be 1
becomes 2
behalf 1
between 2
birthday 2
brother 1
bullying 1
but 1
by 19
cai 1
campaign 1
campaigns 3
can 1
capital 1
chance 1
chao 4
chapter 4
chapters 7
characters 1
chief 1
chong 3
civil 1
classwikitable 1
come 1
conflicts 1
connections 1
contingent 1
convoy 1
corrupt 1
daming 1
death 1
defeating 2
defects 2
depot 2
describes 1
develops 1
dies 2
dingguo 1
dingjian 1
dissolution 1
domain 1
dongchang 1
dongping 1
down 1
dynasty 4
edition 3
eg 1
embark 1
emperor 3
encounters 1
english 1
episode 1
events 1
eventually 3
excerpt 1
expeditions 1
extended 1
family 4
fang 3
father 1
few 1
fifth 1
fighting 1
fire 1
first 3
flee 1
flees 1
foes 1
followed 1
following 2
for 5
forces 1
form 1
fortress 2
fourth 1
framed 1
friend 1
from 4
funny 1
further 1
gai 4
gao 7
gaotangzhou 1
generals 1
gifts 2
gongsun 2
government 3
grand 3
granted 2
grew 1
group 1
guan 3
he 3
hebei 1
heng 1
heroes 5
his 5
hong 1
hu 2
hua 1
huizong 1
huyan 2
illustrating 1
imperial 6
imprisoned 1
in 8
include 1
includes 3
individual 1
intended 1
invaders 2
is 3
jiang 4
jiangzhou 1
jin 7
jing 1
join 1
junyi 1
jurchenruled 1
kui 1
la 3
lackeys 1
latter 2
leader 1
leaders 1
led 7
lei 1
lesson 1
lethal 1
li 1
liangshan 13
liao 2
lin 3
lu 4
main 1
making 2
mangdang 1
marsh 7
marshal 2
meanwhile 1
meets 1
men 1
military 1
minister 1
more 1
mother 1
mount 1
moving 1
next 2
notable 1
novel 2
of 35
offers 1
omits 1
on 12
one 1
opening 1
or 1
original 3
other 3
outlaw 4
outlaws 15
outline 1
painful 1
peace 1
people 1
pieced 1
plot 1
prefecture 1
prefectures 1
primary 2
prior 1
progresses 1
qing 2
qingzhou 1
qiu 5
rebel 2
recruits 1
redress 1
release 1
releases 1
relevant 1
rise 2
roaming 1
rob 1
robbing 1
rong 1
ruffian 1
search 1
second 2
sections 1
seeking 1
seen 1
sent 1
separate 1
servants 1
serving 1
set 1
settle 1
seven 2
shan 1
sheng 4
shengtan 1
shi 4
siam 1
sichuan 1
skills 1
slays 1
soldiers 1
song 8
special 1
spirits 2
starting 1
status 1
stelebearing 1
still 1
stories 3
story 15
street 1
strongly 1
student 1
subsequent 1
succeeds 1
such 1
supply 1
suppress 1
sworn 1
talents 1
taught 1
tell 1
tells 1
text 1
the 102
them 3
there 1
they 1
third 1
three 1
tian 2
time 1
tinggui 1
tired 1
to 10
together 1
told 1
tong 2
tortoise 1
tragic 1
translation 1
under 1
vague 1
version 1
village 2
wang 4
was 1
way 1
wei 1
well 2
when 1
where 1
which 1
while 1
who 2
whom 1
whose 1
with 4
within 1
wu 1
xiong 1
xiu 1
yang 3
zeng 3
zhi 1
zhishen 2
zhu 2
zhuo 2
