9578187
/m/02pknw6
/m/02pknw6
Laurence James
1992-01
a 22
abbreviations 1
abduction 1
able 3
accompanied 1
acting 1
actually 1
adam 8
addictive 1
address 1
after 4
afterward 1
again 1
against 2
agrees 3
alive 1
all 1
allowing 1
along 1
also 2
ammo 1
an 3
and 29
another 2
answer 1
anyone 1
apparent 1
are 1
armed 1
around 1
arrival 1
arrive 1
as 8
assault 1
assistance 1
assures 1
at 5
attack 1
attempt 1
b 5
band 1
barely 1
baron 1
be 2
beat 1
beating 1
been 1
before 1
begin 1
behind 1
being 1
believe 1
believing 1
below 1
betraying 1
beyond 1
blank 1
blood 1
borrowed 1
boss 2
box 1
bribe 1
brought 1
brutal 1
brutally 1
but 4
by 15
called 1
captured 1
care 1
carrying 1
cawdor 2
cawdors 1
center 1
chase 1
chilling 1
claiming 1
clearly 1
closes 1
clothing 1
codes 1
companions 7
completes 1
concludes 1
confirms 1
confusion 1
conscious 1
considerable 1
contains 1
controls 1
corpse 1
correct 1
could 1
coyotes 1
crippled 2
crossed 1
dangerous 1
dark 2
darkness 1
day 2
days 2
dead 1
dean 8
death 2
debt 1
decide 1
decipher 1
demands 1
demise 1
departed 1
departs 1
destroy 1
dies 1
difficulty 1
disappearance 1
disarmed 1
discovered 1
discovers 3
distracted 1
dix 1
doc 3
door 2
downhill 1
dr 1
dred 1
dreem 1
dreemaddicted 1
drugged 1
due 1
during 4
dwellers 1
eight 1
either 1
elbows 1
electrical 1
end 1
ends 1
enormous 1
ensure 1
ensuring 1
escape 1
escaping 1
especially 1
evening 2
events 1
eventually 1
everyone 1
examine 1
exchange 2
executed 1
exit 1
exodus 1
explains 1
explanation 1
extraterran 1
facing 1
fails 2
falls 1
family 1
farm 1
fate 1
feet 1
felt 1
fending 1
few 1
finding 1
fitting 1
fleeing 1
florida 1
followers 4
following 3
follows 1
for 7
force 1
forced 1
forward 1
four 1
freefallthemed 1
friends 2
from 5
functional 1
furious 1
gang 1
give 2
given 1
go 1
gone 1
gravity 1
group 7
guaranteed 1
guesses 1
guise 1
gunfire 1
gunpoint 1
had 1
handheld 1
handwritten 1
harem 1
harmed 1
harry 1
has 3
have 3
hawks 1
he 19
heart 1
heavily 1
hidden 1
highly 2
him 10
himself 1
his 21
hostage 1
house 2
human 1
immediately 3
in 14
including 1
instead 1
intact 1
intending 1
intercom 1
interest 1
interrupts 1
into 2
is 14
it 2
j 5
jak 7
jump 7
jungle 1
keep 1
keeps 1
kelly 3
kill 1
killed 2
kills 1
king 1
knees 1
knife 1
knows 1
krysty 1
large 1
larry 8
late 1
later 3
lauren 1
leading 1
learns 1
least 1
leaving 2
life 1
lightness 1
lived 1
local 1
location 1
long 1
lowerthanearth 1
made 1
make 5
makes 2
man 1
mattrans 3
may 1
meet 2
meeting 2
meets 1
member 1
members 2
mentioned 1
messages 1
met 1
mexico 3
midcoitus 1
mildred 2
missing 1
most 1
mostly 1
move 1
multiple 1
murder 1
mutated 1
my 1
named 1
narcotic 1
narrowly 1
near 1
nearpitch 1
needs 1
negotiates 1
new 3
newyork 1
next 2
night 1
not 4
note 1
now 1
numbers 1
obese 1
obliterated 1
obvious 1
occupied 1
of 27
off 4
on 4
once 2
one 2
only 2
onto 1
or 2
order 1
organized 2
other 2
otherwise 1
out 1
over 2
own 1
panga 1
panicking 1
paper 1
park 1
participating 1
participation 1
particular 1
passage 1
paths 1
plan 1
plunging 1
pockets 1
point 1
portable 1
possibly 1
prenuke 2
prevent 1
prior 2
proves 1
questioning 1
quickly 1
radio 1
range 1
reach 1
readily 1
recapture 1
recce 1
received 1
recently 1
recognize 1
recognized 1
redoubt 9
redoubts 1
reflection 1
reflects 1
refuse 1
release 1
remaining 1
remains 1
replace 1
replenish 1
rescue 1
rest 1
retreat 1
returns 1
ride 1
riding 1
rise 1
roll 1
rough 1
ryan 27
safe 2
safety 2
same 1
says 2
scalie 1
scrap 1
sec 1
secboss 1
see 2
seedling 1
seeking 1
sending 1
services 1
settled 1
seven 1
severely 1
she 1
shield 1
shooting 1
short 1
shortwave 1
shot 1
simply 1
sinister 1
sky 1
slaughter 1
slavers 3
slow 1
small 1
snaking 2
sociopath 1
some 1
someone 1
son 3
soon 2
specific 1
specifically 1
spurned 1
stalls 1
stanton 1
stay 1
still 2
stomach 1
story 1
strange 1
supplies 1
supplying 1
supporters 1
supposed 1
surrender 1
survivor 1
swamp 1
swampy 1
take 2
takes 5
tanner 4
tell 1
telling 1
tells 1
tense 1
tenyearold 1
that 12
the 74
their 6
them 3
theme 1
themselves 1
then 2
theophilus 1
theory 1
they 6
things 1
this 3
though 1
through 1
thrown 1
thus 1
time 2
times 2
to 36
top 1
touch 1
trader 3
trapping 1
traven 14
try 1
two 3
twoway 2
ultimately 1
unbeknownst 1
unconditional 1
under 2
underworld 1
unintelligible 1
unit 1
unprovoked 1
urgent 1
using 2
very 1
via 1
ville 6
visit 1
wag 1
waiting 1
was 6
watch 1
way 2
weapons 1
weight 1
well 3
wellkept 1
wellstocked 1
when 2
where 1
whereupon 1
which 1
while 3
who 6
wife 1
will 2
with 17
woman 1
working 1
wrinklie 1
wroth 1
wyeth 1
years 1
zapp 7
zimyanin 1
