2918867
/m/08ckpc
/m/08ckpc
Ignacy Krasicki

{"/m/05hgj": "Novel"}
18thcentury 1
a 5
adventures 1
an 1
and 5
apologia 1
as 1
based 1
become 1
both 1
broader 1
citizen 1
commonwealth 1
constitutes 1
culture 1
dowiadczyski 1
during 1
emphasized 1
enlightenment 1
european 1
experience 2
experiences 1
fictional 1
for 1
gathers 1
good 2
him 2
how 1
in 2
is 1
island 1
japan 1
known 1
krasicki 2
lead 1
man 1
mikoaj 1
natives 1
nicholas 2
nippon 1
nipu 1
nobleman 1
novel 1
numerous 1
of 6
offers 1
often 1
on 1
outlook 2
paris 1
physiocratism 1
polish 1
polishlithuanian 1
portrayal 1
protagonist 1
rationalist 2
sojourns 1
tale 1
teach 1
that 1
the 8
this 1
thus 1
time 1
to 3
warsaw 1
writings 1
