32861594
/m/0h3nwgn
/m/0h3nwgn
Clive Algar
2011
{"/m/05hgj": "Novel"}
a 4
alone 1
and 1
angloboer 1
besieged 1
boer 1
by 4
choice 1
circumstances 1
commandant 1
create 1
degrade 1
desert 1
desperate 1
during 1
dusty 1
emma 2
ephemeral 1
faced 1
fateful 1
fighters 1
flowers 1
foot 1
for 1
future 1
her 2
herself 2
in 3
is 2
led 1
manie 1
mind 1
mining 1
mission 1
must 1
namaqualand 1
new 1
night 1
of 1
on 2
order 1
out 1
richardson 1
sets 1
she 1
smit 1
survive 1
the 3
their 1
then 1
to 2
tortured 1
town 2
tragic 1
trapped 1
vision 1
war 1
with 2
