374767
/m/020wsd
/m/020wsd
Aldous Huxley
1955-12
{"/m/01qxvh": "Romance novel"}
121 1
151 1
15yearold 1
17yearold 1
87 1
a 14
about 1
absence 1
accident 1
act 1
advantage 1
affair 2
after 3
age 1
agree 1
alicia 1
also 1
an 3
and 19
any 1
are 1
as 5
assistant 1
asthmatic 1
at 4
attraction 1
awkward 1
background 1
be 1
because 2
becomes 2
begins 1
being 2
beluah 1
betraying 2
biography 1
but 2
by 4
cannot 1
car 1
care 2
cared 1
children 1
comfort 1
continue 1
cosmetic 1
daughter 1
death 2
declining 1
dejected 1
describes 1
develops 2
die 1
dies 2
dr 1
dramatic 1
due 1
dying 1
emotional 1
emotions 2
employed 1
encounter 1
ends 1
entertain 1
experience 1
extremely 1
family 4
fantasizes 1
father 1
feels 1
find 1
finds 1
fondness 2
football 1
for 11
fourth 1
friend 1
future 1
genius 1
goddess 1
grows 1
guilt 1
has 3
having 2
he 4
health 1
helen 1
henry 12
henrys 1
her 11
herself 1
hides 1
him 3
himself 1
his 16
home 1
household 1
housekeeper 1
ill 1
imaginary 1
important 1
in 6
insists 1
interests 1
invited 1
is 8
it 1
john 1
just 1
katy 9
lab 1
last 1
laughs 2
learning 1
leave 3
life 1
live 1
lives 1
longer 1
lost 1
love 3
maartens 8
marriage 1
marries 1
master 1
meets 1
memories 1
minister 1
mother 8
much 2
must 1
named 1
nobel 1
obesity 1
of 7
off 1
on 1
only 2
out 1
outlet 1
own 1
party 1
phd 1
physicist 1
pious 1
place 1
planned 1
player 1
poem 2
poems 1
poetess 1
prepares 1
presents 1
prize 1
receiving 1
recovers 2
redhead 1
regarding 1
rejected 1
relationship 1
reminds 1
respect 1
returns 1
rivers 19
ruth 5
ruths 1
saying 1
says 1
scholarship 1
secretly 1
sermons 1
sexual 1
she 4
sheltered 1
sick 1
simultaneously 1
sister 1
so 1
socially 1
solace 1
soon 1
sooner 1
speaking 1
stay 1
story 2
subtly 1
suspects 1
takes 2
than 1
that 7
the 14
their 2
them 1
time 1
to 13
towards 1
tries 1
true 1
turn 1
turns 1
unstable 1
until 1
victimized 1
virginity 1
vitality 1
was 1
when 1
who 3
widowed 1
wife 3
winner 1
winning 1
with 8
without 1
wreck 1
young 1
younger 1
