16829053
/m/0407nsj
/m/0407nsj
Scott Turow
1999
a 2
admits 1
advice 1
agent 1
all 1
an 1
and 4
apparent 1
area 1
as 2
at 3
attorney 4
be 1
been 1
begins 1
believes 1
book 1
brendan 2
bribing 1
cameras 1
center 1
characters 1
chief 1
claims 2
common 2
community 1
concealed 1
continues 1
core 1
corruption 1
county 2
court 1
deal 1
division 1
drive 1
evon 1
explore 1
faulknerian 1
favorable 1
fbi 1
feaver 5
follows 1
for 1
from 1
george 1
get 1
guilty 1
has 2
he 2
heir 1
in 5
individuals 1
injuries 1
is 1
it 1
judge 1
judges 1
judgments 1
justice 3
kindle 2
law 2
legal 2
man 1
mason 1
metropolitan 1
miller 1
motion 1
mystery 1
narrator 1
novel 2
of 6
parties 1
personal 1
phones 1
presiding 1
pursues 1
put 1
robbie 2
scheme 1
secret 1
seeking 1
sennett 2
several 1
spies 1
stan 2
strike 1
such 1
superior 1
system 1
tapped 1
that 1
the 16
these 1
through 1
to 7
trap 1
tuohey 2
turow 1
uncovered 1
undercover 1
us 2
wants 1
web 1
win 1
wired 1
with 1
years 1
