7138568
/m/0h67lz
/m/0h67lz
Matthew Kneale

1857 1
30 1
a 4
aborigines 1
adapt 1
after 1
alternate 1
an 3
and 4
are 3
attempts 1
believes 1
between 1
book 1
both 1
british 1
brought 1
but 2
by 2
captain 1
changes 1
chapters 1
charter 1
clergyman 1
conclusion 1
contraband 1
crew 1
cultural 1
customs 1
describes 1
devastating 1
developing 1
different 2
docks 1
dr 1
earlier 1
eccentric 1
eden 1
englishmen 1
entirely 1
eventually 1
expedition 1
fellow 1
find 2
fine 1
for 3
forced 2
from 1
garden 1
geoffrey 1
goods 1
had 1
has 1
headed 1
heavy 1
hired 1
his 3
hopes 1
however 1
illiam 1
impact 1
in 3
interesting 1
is 4
island 1
it 1
journeying 1
kewley 1
land 1
located 1
man 1
manx 2
many 1
mount 1
natives 1
of 9
offer 1
on 3
one 2
or 1
parallel 1
party 1
peevay 1
people 1
periods 1
potter 1
quickly 1
quillian 1
races 1
reason 1
recollections 1
renowned 1
reverend 1
running 1
sailors 1
settlers 1
ship 2
smuggle 1
so 1
some 2
specimens 1
starting 1
story 2
strands 1
struggle 1
surgeon 1
tasmania 3
that 1
the 17
their 2
them 2
there 2
thesis 1
this 1
thomas 1
time 1
to 9
together 1
travellers 1
two 1
unbeknownst 1
vessel 1
vicar 1
wants 1
were 1
when 1
which 1
white 1
who 3
wilson 1
with 2
years 1
