16332528
/m/03y05ky
/m/03y05ky
Colson Whitehead
2006-03-21
a 4
aberdeen 2
africanamerican 1
after 2
albie 1
an 1
and 2
apex 1
array 1
as 1
at 1
bandages 1
barbed 1
be 2
begins 1
being 1
better 1
blacks 1
book 2
bore 1
branding 1
broad 1
by 1
call 1
character 1
citizens 1
colors 1
come 1
consultant 1
contacted 1
council 1
descendant 2
disagree 1
drive 1
employer 1
fictional 1
former 1
fortune 1
founders 1
founding 1
free 1
freedom 1
from 1
goode 2
had 2
has 2
he 2
his 2
however 1
in 4
is 2
it 2
its 1
keep 1
key 1
leading 1
left 1
losing 1
lucky 1
made 1
magnate 1
main 1
match 1
mayor 1
multiple 1
name 3
namesake 1
new 1
nomenclature 1
novel 1
of 8
one 1
proposed 1
prospera 1
protagonist 1
recent 1
regina 1
rename 1
renamed 1
requests 1
revert 1
selling 1
set 1
should 1
skin 1
software 1
success 1
that 1
the 18
three 1
to 7
toe 1
tones 1
town 9
travels 1
two 1
unnamed 1
wants 3
what 1
which 3
while 1
who 2
whod 1
winthrop 4
wire 1
with 1
