31444572
/m/0gky2tp
/m/0gky2tp
Joanne Harris

{"/m/0127jb": "Magic realism"}
10 1
37 1
a 17
about 2
accept 1
access 1
acquaints 1
after 1
again 1
aged 1
ago 1
all 1
alluring 1
alone 1
also 1
although 1
ambition 1
ambitious 1
an 1
and 22
arrives 1
artistic 1
as 2
at 2
attempts 1
awardwinning 1
bear 1
become 1
becomes 1
been 1
befriended 1
begin 1
begins 1
behaving 1
bestseller 1
between 1
blackberry 1
block 1
book 4
borders 1
bottles 2
box 1
building 1
burns 1
but 1
buys 1
by 2
called 1
cannot 1
career 1
change 1
childhood 2
comes 1
comingofage 1
conceal 1
confidence 1
cox 1
creative 1
crisis 1
damaging 1
dapi 1
daughter 1
deaf 1
decade 1
describing 1
desperate 1
determinided 1
disappearance 1
discovers 1
divorce 1
duplicate 1
dwindling 1
earlier 1
eccentric 1
erratic 1
escape 1
estate 1
everyday 1
exgirlfriend 1
expectations 1
failed 1
falling 1
fame 2
farm 1
fascinated 1
feel 1
feeling 1
fiercely 1
finally 2
finds 1
first 2
flagging 1
flashbacks 1
following 2
followup 1
for 3
forever 1
forge 1
french 1
from 2
gained 1
gains 1
gardener 1
gardens 1
get 1
girlfriend 1
gradually 1
great 1
growing 1
hard 1
has 4
haunts 1
having 2
he 12
her 4
him 3
himself 3
his 16
hold 1
homebrew 1
homemade 2
house 1
how 1
however 1
important 1
in 11
increasingly 2
independent 1
influence 1
influx 1
inhabitants 1
inspire 1
inspired 1
is 8
it 3
its 1
jackapple 2
jay 15
joe 9
joseph 1
just 1
kerry 4
key 1
kirby 1
know 1
land 1
lansquenet 4
lansquenetsoustannes 1
learns 1
life 3
lives 2
living 1
london 1
lose 1
love 1
machinations 1
mackintosh 1
magic 1
magical 1
magician 1
man 1
managed 1
manuscript 1
marise 4
massive 1
matters 1
may 1
mean 1
memories 2
might 1
monckton 1
more 5
moves 1
neighbour 1
never 1
new 3
nostalgic 1
notoriety 1
novel 2
novels 1
now 3
observing 1
of 15
old 1
on 1
only 1
ostensibly 1
own 1
pages 1
parents 1
past 1
peace 1
place 1
poet 1
potential 1
prepares 2
press 1
pressures 1
pseudonym 1
public 1
publicity 1
published 1
put 1
reached 1
readers 1
reality 1
realization 1
recapture 1
reclusive 1
recognizing 1
redeem 1
rediscover 1
relationship 1
relaunch 1
reputation 1
resists 1
retelling 1
revealing 1
revisiting 1
revisits 1
rewarding 1
sciencefiction 1
second 1
secondrate 1
secret 1
secretly 1
seen 1
selffulfillment 1
she 3
simplicity 1
simply 1
so 1
sole 1
specials 3
stop 1
story 1
students 1
stunt 1
success 1
suffer 1
suffering 1
summers 1
teaches 1
terrible 1
than 3
that 10
the 21
there 1
this 3
through 2
time 2
to 24
torn 1
tourists 1
town 1
truly 1
under 2
unexplained 1
unfullfilled 1
unique 1
vapid 1
village 1
vivid 1
was 3
way 1
weeks 1
what 1
whereabouts 2
whilst 2
whom 1
whose 1
wine 3
with 9
woman 1
work 1
would 3
write 3
writer 2
writes 1
writing 3
years 1
yorkshire 1
young 1
zenith 1
