3433133
/m/09c5c0
/m/09c5c0
Jodi Picoult
2001-04-03
a 9
accepts 1
after 3
allowing 1
amish 2
an 5
and 5
as 3
asks 1
at 2
attorney 1
aunt 1
baby 2
bacterial 1
bail 1
based 1
been 1
before 1
begin 1
begins 1
birth 2
book 1
born 1
bracelet 1
bruises 1
but 3
by 1
case 1
causes 1
charged 1
cloth 1
community 1
conclude 1
conditions 1
confrontation 1
connects 1
contracted 1
coop 4
cops 1
cord 1
could 1
cut 1
day 1
days 1
dead 1
death 1
defense 1
defers 1
deliberates 1
determines 1
didnt 1
died 2
discover 1
distant 1
doctor 1
drinking 1
due 1
during 1
eighteenyearold 1
electronic 2
ellie 8
ends 1
entire 1
ethical 1
evidence 1
farm 4
fibers 1
find 1
finds 1
first 1
fisher 2
for 1
former 1
found 1
from 2
gave 1
girl 1
gives 1
gone 1
had 2
has 2
hathaway 1
have 2
he 1
hearing 1
her 6
hermother 1
him 1
how 1
immediately 1
in 1
including 1
infant 3
infection 1
interviews 1
investigate 1
is 3
it 1
jury 1
katie 11
knew 1
know 1
lasts 1
lawyer 1
leads 1
left 1
legal 1
life 1
listeriosis 1
lover 1
marriage 1
marry 1
milk 1
monitoring 1
months 1
mother 2
mouth 2
murder 1
natural 1
newborn 1
night 1
not 2
novel 1
obligation 1
of 7
on 5
one 1
opts 1
out 1
part 1
period 1
picking 1
plea 2
police 3
pregnant 2
prematurely 1
pretrial 1
previously 1
prior 1
provide 1
psychologist 1
relationship 1
relative 2
reluctantly 1
remain 1
revealing 1
sarah 2
scissors 1
sentenced 1
several 2
shakes 1
she 6
shortly 1
son 1
stay 1
stillborn 1
story 1
suffocated 1
tells 1
that 6
the 24
their 1
them 1
they 1
this 1
though 1
throat 1
time 1
to 15
together 1
top 1
trial 1
triala 1
trusts 1
umbilical 1
unmarried 1
unpasteurized 1
up 1
used 1
was 4
wearing 1
which 3
while 1
who 1
whom 2
with 8
year 1
years 1
