889164
/m/03m1d4
/m/03m1d4
Gertrude Stein
1933
{"/m/0xdf": "Autobiography", "/m/017fp": "Biography"}
107 1
a 4
about 3
abridge 1
affluent 1
after 1
aldrich 1
alice 9
all 1
allegheny 1
alone 1
ambroise 1
america 1
american 1
americans 2
an 4
and 17
anderson 1
apollinaire 2
argument 2
around 1
art 1
artistic 1
artists 3
as 1
at 2
attended 1
authoring 1
autobiography 1
b 1
back 2
because 1
become 1
begin 1
bored 2
born 2
break 1
briefly 1
brother 1
but 2
buying 1
by 3
california 1
changed 1
city 1
college 1
commercial 1
constitute 1
coterie 1
couple 2
cubist 1
czanne 1
decided 2
degree 1
devise 1
discusses 2
do 1
driving 1
dropped 1
during 1
editor 1
eliot 1
end 1
england 2
ernest 1
eve 1
eventually 2
exhibition 1
falls 1
family 1
fernande 2
fiesole 1
finally 3
finds 1
fires 1
first 1
for 6
four 1
france 4
francisco 2
french 2
friends 2
friendship 1
from 1
fund 1
gertrude 13
gives 1
go 1
goes 1
guillaume 1
has 1
he 1
helene 1
help 1
helped 1
hemingway 1
henri 1
her 4
his 1
holidays 1
homeless 1
hopkins 1
household 1
housemaid 1
how 1
hundred 1
idea 1
important 1
in 12
inappropriate 1
into 1
italy 1
james 1
johns 1
later 4
leaving 1
lecture 1
leo 1
live 1
london 1
make 1
making 2
many 1
master 1
matisse 3
meet 1
mentions 2
met 1
mildred 1
mistress 1
montparnasse 1
more 1
mother 1
move 3
moved 2
movement 1
moves 1
narrator 1
new 1
next 1
no 1
of 12
on 1
one 1
other 1
out 2
oxford 1
pages 1
paintings 1
paris 5
parties 1
passy 1
paul 1
pennsylvania 1
picasso 3
preparations 1
publication 1
radcliffe 1
reasons 1
recounts 1
rescue 1
returned 1
role 1
russian 1
s 1
san 2
says 1
seems 1
settled 1
she 11
sherwood 1
spain 3
spending 1
stein 3
stories 1
study 1
subsequently 1
summer 1
t 1
talks 2
taught 1
teach 1
tells 4
the 18
their 1
then 5
there 3
they 7
to 16
toklas 1
too 1
university 2
up 1
vienna 1
visit 1
vollard 1
volunteer 1
war 3
was 5
where 1
while 2
who 1
william 1
with 10
work 2
world 1
wounded 2
writings 2
years 1
york 1
