8046930
/m/026pn8y
/m/026pn8y
Robin Klein
1983
{"/m/0dwly": "Children's literature", "/m/03npn": "Horror"}
a 3
accepts 1
and 1
as 1
at 1
aunt 2
be 1
but 1
by 1
call 1
clement 1
day 1
dont 1
enclosed 1
escape 1
ever 2
every 2
first 1
for 1
francis 1
good 1
had 1
has 1
hear 1
her 2
here 1
into 1
is 2
its 1
know 1
let 1
life 2
live 1
living 1
mansion 1
marries 1
member 1
might 1
moment 1
mr 1
mustnt 1
new 1
of 1
or 1
our 1
out 1
outside 1
people 1
pushed 1
raise 1
realises 1
religion 1
secrets 1
she 4
sinister 2
temple 1
the 1
them 1
to 2
tries 1
trustingly 1
tyrell 1
unclimbable 1
uncovers 1
until 1
voice 1
walls 1
we 1
worthy 1
you 2
your 1
youre 1
