165372
/m/0160lc
/m/0160lc
Anthony Trollope
1857
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction"}
12 1
14 1
a 16
adult 1
against 1
all 2
also 2
an 2
and 25
any 1
appalled 1
appointed 1
arabin 7
archdeacon 3
are 2
arranges 1
as 3
assist 1
at 4
attracted 1
away 1
barchester 2
be 2
beautiful 1
become 2
been 1
believe 1
bertie 2
between 1
bishop 6
bold 3
brilliant 1
brotherinlaw 1
but 3
butterflies 1
by 4
campaigns 1
cannot 1
catching 1
cathedral 4
catholic 1
causes 1
chaplain 2
chat 1
children 2
church 1
city 1
clergy 2
clergyman 1
close 3
college 1
come 2
concerns 1
considerable 1
considers 2
consternation 1
continues 1
controversy 1
crippled 1
daughter 2
daughters 2
dean 3
decides 1
delicate 1
develop 1
died 2
diocese 1
dismissed 1
doubledealings 1
dr 4
drawn 1
drops 1
earlier 1
ears 1
efforts 1
eleanor 6
engaged 1
evangelical 1
even 2
exercises 1
expectations 1
expedient 1
far 1
father 1
favour 1
fellow 1
financial 1
flame 1
flirt 1
followed 1
for 3
francis 1
from 2
gains 1
garden 2
gentleness 1
gives 1
goes 1
good 1
grace 1
grantly 3
harding 5
has 4
having 2
he 1
head 1
help 1
henry 1
her 8
herself 1
him 3
himself 1
hiram 1
his 10
hopes 1
hospital 1
house 1
however 1
husband 1
hypocritical 1
imaginary 1
in 6
influence 2
instead 1
intends 1
interfere 1
interference 1
interfering 1
into 1
is 13
it 2
italian 1
italy 2
its 1
john 1
keep 1
lazarus 1
leading 1
left 1
less 1
life 2
like 1
loved 1
made 1
madeline 1
making 2
marriage 1
marry 2
marrying 1
massive 1
matters 1
mentor 1
might 1
minister 1
misunderstanding 2
money 1
more 1
most 1
moth 1
motions 1
mr 21
mrs 6
much 1
music 1
mysterious 1
nearly 1
needy 1
neroni 1
new 2
newcomer 1
newly 1
newman 1
not 2
novel 1
now 1
obadiah 1
occurs 1
of 22
offered 1
oily 1
old 1
on 1
or 1
orders 2
over 2
owing 1
oxford 1
palace 1
party 1
passage 1
patronage 1
plans 1
popular 2
position 1
power 1
prebendary 1
preferment 1
presumption 1
previous 1
prime 1
proposal 1
proposes 1
protagonist 1
proudie 6
proudies 1
provide 1
quiet 1
quiverful 1
rather 1
reappointment 1
received 1
recovering 1
refused 1
relationship 1
removal 1
return 2
returns 1
revealed 1
reverend 1
rich 1
roman 1
scholar 1
security 1
see 1
septimus 1
serial 1
servants 1
settled 1
several 1
she 3
signora 4
sister 1
sisters 1
skilled 1
slapped 1
slope 11
son 2
sore 1
spending 1
spent 1
stanhope 4
stanhopes 1
stop 1
succeed 1
summoned 1
support 1
sycophantic 1
than 1
that 3
the 48
their 1
there 1
they 1
think 1
thornes 1
though 1
threatens 1
three 1
throat 1
through 1
time 1
to 20
towers 1
trollope 1
two 2
ullathorne 1
under 1
undue 1
universally 1
unpopular 1
unsafe 1
unsuitable 1
vesey 2
veto 1
war 1
warden 2
wardenship 1
ways 1
wealthy 1
well 2
who 2
whom 1
widowed 1
wife 3
will 2
win 1
with 11
word 1
would 1
years 1
young 1
younger 1
