913971
/m/03pdf7
/m/03pdf7
Jane Austen
1817
1805 1
a 12
able 1
abundance 1
acquaintances 1
actual 1
actually 1
all 1
allows 1
almost 1
along 1
always 1
amongst 1
an 4
and 17
appreciated 1
are 3
arrival 1
artificial 1
as 4
at 2
attends 1
augmented 1
austen 5
based 1
bathingplace 1
be 9
before 1
being 1
belles 1
between 1
build 1
building 2
built 2
busily 1
business 1
but 2
by 9
call 1
calls 1
certainly 1
chances 1
chapters 1
charles 1
chosen 1
circle 1
clapham 1
coast 2
command 1
commercial 1
communication 2
communications 1
conception 1
constructing 1
conversation 2
conversations 1
create 1
creation 1
creators 1
crescent 2
demonstrate 1
demonstrates 2
description 1
descriptions 1
developed 1
development 1
develops 1
direction 1
discussing 1
distance 1
door 1
dupuis 1
each 1
eager 1
early 1
eastbourne 1
eloquence 1
employed 1
encouragement 1
enough 1
entirely 1
epistolary 2
events 1
everybody 1
exaggerated 1
experimented 1
express 1
expresses 1
facility 1
fame 1
families 3
favoured 1
favourite 2
first 2
for 2
forefathers 1
form 3
formation 1
found 1
foundation 1
founders 3
friends 1
from 3
furthers 1
give 1
gives 1
good 1
gossip 1
greater 1
grow 1
had 2
has 3
have 4
heard 1
him 1
his 2
house 2
how 1
however 1
i 2
ideal 1
identity 2
if 1
images 1
imagine 1
in 16
information 1
inhabitants 2
interest 1
intermediate 1
intimate 1
intimates 1
is 7
issue 1
it 7
its 1
itself 1
joined 1
lady 2
large 1
late 1
lately 1
later 1
less 1
lessons 1
letter 2
letters 1
lettres 1
likely 1
little 1
lives 1
lodgers 3
man 1
many 1
may 2
means 3
meet 1
mind 1
modern 2
most 3
mouth 3
moved 1
mr 3
mrs 1
multiple 1
must 1
my 1
name 2
nature 1
new 1
next 1
not 2
novel 1
number 3
of 36
old 1
on 4
one 4
or 1
oral 2
other 1
out 2
own 1
parker 2
parkers 1
people 3
perfect 1
perhaps 1
practical 1
present 1
probably 1
promising 1
provides 1
rapidly 1
reader 1
reality 2
relation 2
relayed 1
reputation 2
resort 1
results 1
rising 1
sanditon 8
sanditons 1
seaside 1
season 1
secured 1
seminary 1
sends 1
sense 1
settled 1
shall 1
share 1
she 5
should 1
since 1
sister 1
so 1
spot 1
spread 3
spreads 1
states 1
stayed 1
story 1
streets 1
such 2
supporters 1
susan 1
sussex 1
takes 1
tell 1
text 1
than 2
that 8
the 57
their 4
then 1
there 1
therefore 1
these 4
they 3
this 5
thrives 1
through 2
thus 2
time 1
to 13
town 11
towns 2
townsfolk 1
turn 1
turns 1
two 2
undermining 1
unknown 1
unlikely 1
upon 1
us 1
used 1
ventured 1
visitants 1
was 2
waterloo 1
way 2
we 2
wheel 2
when 2
where 1
which 6
who 3
will 2
with 3
within 2
word 1
words 1
works 1
world 3
worthing 1
year 1
yet 1
you 1
young 1
