2735069
/m/07_vh7
/m/07_vh7
Steven Barnes

a 4
adventures 1
affair 1
ambassadors 1
and 6
approach 1
as 3
asajj 1
attracted 1
between 1
bodyguards 1
by 1
cestus 1
class 1
clone 4
deal 1
diplomatic 1
droids 1
during 1
fail 1
female 1
fett 1
fighters 1
fisto 2
follows 1
forms 1
from 1
has 1
incite 1
intervention 1
intrigue 1
is 1
jango 1
jedi 2
kenobi 2
killer 1
kit 2
knights 1
leadership 1
locals 1
love 1
minion 1
nate 1
obiwan 3
of 4
on 1
one 1
ord 1
pilot 1
planet 2
politicking 1
producing 1
rebellion 1
recruiting 1
set 1
should 1
sith 1
socalled 1
squad 1
start 1
started 1
story 1
takes 1
template 1
the 11
their 2
they 1
to 2
training 1
trooper 2
ventress 1
wars 1
well 1
which 1
while 2
who 1
with 2
working 1
