718998
/m/035jkn
/m/035jkn
John Varley
1983
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
a 12
aboard 1
advanced 1
african 1
after 2
age 1
airplane 1
airplanes 1
alone 1
an 4
and 17
appear 1
appearance 1
approaches 1
are 1
around 1
arrive 1
artificial 1
as 3
attendants 2
back 2
baltimore 1
bathroom 2
be 4
beautiful 1
because 1
become 1
been 2
before 1
begin 1
behind 1
being 1
bluff 1
body 1
breakdown 2
but 1
can 3
catastrophic 1
caused 1
century 1
change 1
changes 1
changing 1
charge 1
civilization 2
collect 2
continues 1
convincing 1
corpses 1
crash 2
crashing 1
created 1
daily 1
damage 2
damaged 1
day 2
deal 1
deals 1
desert 1
desperate 1
destined 2
die 2
died 1
disappear 1
disasters 1
discovery 1
dressed 1
dubbed 1
due 2
during 1
dying 1
earth 1
effect 1
effort 1
efforts 1
embarked 1
ensuing 1
entering 1
even 1
every 1
everyone 1
exert 1
fabric 2
fallout 1
features 1
finishes 1
fix 1
flight 3
follows 1
found 2
freely 1
from 2
functional 1
further 1
future 5
gate 3
gene 1
genetic 1
get 1
gives 1
go 1
goes 1
great 1
gunplay 1
has 5
have 4
healthy 1
heavily 1
her 6
hijacker 1
however 1
humanity 1
humans 1
in 10
incidents 1
inevitable 1
informed 1
interference 1
into 6
irreparably 1
is 8
it 2
itself 1
kidnap 1
killed 1
large 1
last 1
leads 1
leave 1
left 1
leg 2
like 1
living 1
look 2
lost 3
louise 2
makes 1
manufactured 1
massive 1
may 2
medical 1
members 1
millennia 1
millennium 1
missing 1
moment 1
must 2
narrator 1
nineteen 1
no 2
north 1
not 2
novel 2
nuclear 1
numbers 1
observed 1
of 14
on 3
once 1
one 2
onesided 1
only 1
or 2
other 1
otherwise 2
our 1
paradox 3
paraleprosy 1
parts 1
passengers 4
past 3
people 3
perhaps 1
plan 1
plane 2
planet 1
polluted 1
pollution 1
pool 1
preburnt 1
present 3
prevent 1
problems 1
pushed 1
quite 1
raids 1
real 1
realmdashshe 1
rebuild 1
recovered 1
remaining 1
removal 1
remove 1
removing 1
replace 1
report 1
rest 1
results 1
returning 1
reverberating 1
risks 1
roman 1
run 1
scatters 1
send 1
several 1
she 4
ships 1
sinking 1
skin 2
snatch 2
so 1
soldiers 1
soontodie 1
special 2
still 1
story 1
stun 1
stunner 1
such 2
suit 1
survivors 1
suspicious 1
sustained 1
take 1
team 6
temporal 1
that 7
the 49
their 1
them 4
then 3
they 11
those 2
though 1
through 1
throwing 1
thus 1
time 6
timeline 2
to 18
trace 1
travel 1
travelers 1
treatment 1
type 1
ugly 1
uncontaminated 1
unexpected 1
unreliable 1
upon 1
uses 2
vanished 1
various 1
victims 1
warfare 1
wars 1
was 1
weapon 2
weapons 1
wears 1
when 1
where 1
which 3
who 3
whole 1
will 2
with 3
without 2
would 2
