11867196
/m/02rw4nb
/m/02rw4nb
P. G. Wodehouse
1966-10
{"/m/0707q": "Short story"}
a 5
about 1
age 1
aggie 2
alsatian 1
although 1
an 1
and 5
ankles 1
are 1
armed 1
as 2
at 1
attacking 1
attractive 1
away 1
back 1
beach 5
become 1
been 1
befriended 1
believes 1
belongs 1
beloved 1
bigwig 1
biscuits 1
blandings 2
both 1
brings 1
brother 1
business 1
but 2
butler 2
by 4
can 1
captured 1
caught 1
clarence 1
coalcellar 1
colonel 2
connie 2
consorting 1
country 1
covets 1
dangers 1
day 1
dog 4
dogjoy 1
down 1
dull 1
easily 1
embarrassment 1
emsworth 3
family 1
fanshawe 4
fanshawes 1
father 2
finding 1
finn 1
following 1
for 2
freddie 7
french 1
from 1
full 1
gally 7
gets 1
gift 1
girls 1
give 1
go 1
hall 1
has 8
he 3
headed 1
hears 1
her 5
him 4
his 13
hopes 1
hounds 1
house 1
hungry 1
hunting 1
idea 1
imprisonment 1
in 6
informing 1
informs 1
insists 1
invest 1
is 4
it 3
judicial 1
knock 1
knowledge 1
laid 1
leaves 1
life 1
little 2
local 1
lord 1
lurking 1
marling 1
mickey 1
must 1
name 1
nephew 1
news 1
noticing 1
of 8
old 1
on 2
opts 1
out 1
outside 1
pack 1
persuading 1
plan 1
potential 1
prowler 1
reading 1
realising 1
replace 1
replacing 1
requesting 1
rescue 1
retrieve 1
return 1
returned 1
returns 1
reveals 1
riviera 1
sacking 1
sale 1
sends 1
services 1
shaken 1
she 2
shock 1
sickbed 1
silences 1
sister 1
sizeable 1
so 1
somewhat 1
spaniel 1
sprained 1
stairs 1
stealth 1
successful 1
taking 1
tale 1
telegram 1
telephoned 1
telling 1
that 3
the 13
then 1
they 1
thinking 1
this 1
threepwood 1
thus 1
to 11
tumbles 1
unwilling 1
up 2
upset 1
valerie 3
venerable 1
visited 1
warns 1
wheezy 1
when 1
while 1
who 2
wife 3
with 5
without 1
worrying 1
young 1
