20820681
/m/053l9wr
/m/053l9wr
Margaret Haddix
2008-04-22
{"/m/06n90": "Science Fiction", "/m/03mfnf": "Young adult literature"}
10yearold 1
12yearold 1
1483 1
a 5
able 1
about 1
after 2
again 2
against 1
alex 11
alexs 1
all 1
and 43
andrea 1
angels 1
angry 1
annoyed 1
another 3
are 12
asked 1
asks 1
at 3
away 1
back 6
battle 4
be 6
because 1
become 2
becomes 1
before 2
blends 1
bodies 1
bosworth 1
boy 1
boys 3
brings 1
brother 1
but 4
by 3
called 1
can 5
cant 1
cave 1
chapel 1
children 1
chip 18
colony 1
come 2
comes 1
companion 1
considered 1
coronation 1
critically 1
damaged 1
dare 1
dead 4
did 1
discover 1
dramatic 1
drops 1
duke 1
during 1
edward 5
elucidator 6
england 1
ensues 1
escape 1
eventually 1
explains 3
feet 1
few 1
field 1
find 2
finds 1
finishes 1
fix 1
fixing 1
for 3
forced 1
forgiven 1
from 3
frustrated 1
functions 1
futuristic 1
get 2
gets 4
ghostlike 1
girl 1
girlfriend 1
give 2
gives 2
go 3
gone 3
group 4
had 1
has 1
have 3
he 9
heaven 2
help 2
henry 1
her 2
hide 1
him 4
himself 1
his 4
history 2
how 2
however 3
identities 1
if 4
iii 9
in 11
into 1
invisible 1
is 5
it 4
its 1
jb 11
joins 1
jonah 14
just 2
katherine 13
keep 1
kid 1
killed 2
king 2
kings 1
knew 1
knows 1
later 1
leave 1
leaves 1
like 1
london 2
longer 1
lost 1
machine 1
makes 1
managed 1
meet 1
men 3
messed 1
minutes 1
morning 1
mother 2
my 1
named 1
need 1
never 1
next 1
night 1
no 1
not 1
of 13
off 1
on 1
one 2
original 1
out 7
people 1
picks 1
pitting 1
plan 1
planned 1
praying 1
preparation 1
present 3
pretend 1
princes 3
promises 1
protect 1
pull 2
queen 2
quickly 1
realizes 2
really 1
replies 1
replying 1
resent 1
reset 1
resetting 1
return 1
richard 10
roanoke 1
room 1
run 2
same 1
save 2
says 1
search 1
seeing 1
seem 1
sent 3
she 3
show 1
sickness 1
sister 1
sisters 1
so 1
soon 1
stay 1
succeeded 2
take 1
talking 1
tell 4
telling 1
tells 3
that 17
the 48
their 8
them 10
then 3
there 1
they 21
think 1
thinks 1
threw 1
throne 4
through 2
throw 1
throws 1
time 10
to 25
tower 3
tracer 1
tracers 4
travel 1
travelers 1
traveling 1
true 1
try 1
two 4
uncle 1
up 1
use 1
using 1
v 3
vchip 2
vii 1
virginia 1
visible 1
wall 1
wants 1
warp 1
was 2
way 1
were 3
when 3
where 1
which 1
while 2
who 4
will 6
window 2
with 3
would 2
years 1
yet 1
york 1
