7173127
/m/0h7_yp
/m/0h7_yp
Murray Bail
1998
a 2
all 1
and 1
beauty 1
become 1
beyond 1
can 1
collecting 1
contest 1
correctly 1
ellen 1
eucalyptus 2
far 1
father 1
grows 1
hand 1
her 2
him 1
his 1
holland 1
in 1
leads 1
legend 1
man 1
marriage 1
name 1
near 1
new 1
obsession 1
of 2
on 1
property 2
propose 1
protective 1
rare 1
rural 1
shall 1
she 1
south 1
species 2
speckled 1
story 1
tells 1
the 5
to 1
town 1
trees 1
unattainability 1
up 1
wales 1
western 1
where 1
who 1
whose 1
win 1
with 1
woman 1
young 1
