547744
/m/02nv4n
/m/02nv4n
Ivy Compton-Burnett

1 1
13 1
2 1
3 1
40yearold 1
52 1
70 1
a 16
about 5
absent 1
actually 1
after 2
age 1
aged 1
agree 1
agrees 1
ainger 2
alfred 1
all 3
already 1
although 2
altogether 1
amount 1
an 1
and 19
announces 1
any 2
anything 2
appalled 1
are 2
as 3
asked 1
astonishingly 1
at 2
attack 1
attempt 1
attention 3
awkward 1
basis 1
be 8
bear 1
becomes 1
been 4
before 1
being 1
bennet 1
best 1
between 1
biological 3
blame 1
blood 1
bond 1
both 1
boys 1
breaking 1
brother 2
but 5
butler 2
by 4
called 1
calls 2
can 2
cannot 1
care 1
cassius 6
casually 1
catherine 6
changes 1
children 5
claimed 1
clare 16
clear 2
close 1
comes 1
comfort 1
committed 1
compromise 1
condition 2
confessing 1
considers 1
constitute 1
conversation 1
conversing 1
could 3
cry 1
days 1
dead 1
death 2
deceit 1
deceiving 1
decided 1
decides 1
demands 1
died 1
discovered 1
discusses 1
dismay 1
do 5
doctor 2
does 2
dose 1
down 1
drawing 1
drug 1
during 1
dying 1
each 3
effects 1
eightyearold 1
either 1
embarrassed 1
enhanced 1
entitled 1
eventually 1
everybody 1
example 1
fabian 3
faked 1
family 8
farreaching 1
father 5
favourites 1
feeling 1
feels 1
few 1
find 1
finds 2
first 2
five 2
flavia 3
flesh 1
following 1
for 6
four 1
from 2
gardener 1
get 1
given 2
go 4
good 1
governess 1
guy 3
had 2
hand 1
has 11
have 3
he 17
head 3
health 1
heart 1
help 3
henry 1
her 10
highly 1
him 5
himself 2
his 24
house 1
how 2
however 1
husband 2
if 3
in 5
including 1
inform 1
is 16
it 7
job 1
just 3
keep 1
kill 1
later 1
latter 1
learn 1
least 1
leave 2
left 2
lethal 1
liar 1
life 1
like 2
likes 1
line 1
list 2
living 1
longer 1
love 1
lying 1
made 1
makes 1
man 1
manner 1
marriage 1
mater 2
meant 1
meantime 1
meet 1
meeting 1
megan 2
member 1
members 2
middleaged 1
might 1
mind 1
more 2
mother 4
moved 1
mrs 1
much 1
natural 2
neglected 1
neither 1
never 2
no 2
nor 1
not 7
novel 1
now 2
nurse 2
nursemaid 1
obviously 1
of 15
off 1
older 1
oldest 1
on 6
once 1
one 1
only 3
openly 1
opens 1
or 2
order 1
other 4
out 3
over 1
own 3
partly 1
patient 1
paying 1
people 2
perfect 1
person 1
phial 1
pills 1
pitying 1
place 1
plans 1
please 1
position 1
possibly 1
prepared 1
promise 1
pronouncements 1
proves 2
puts 1
question 1
quite 1
raising 1
react 1
realize 1
realizes 1
really 1
recovery 1
regular 1
relationship 1
remaining 2
remarried 1
reunion 1
right 1
roof 1
same 2
saved 1
say 1
scheme 1
second 1
see 2
seemingly 1
seems 2
seriously 1
servants 1
sevenyearold 1
she 6
similarly 1
sister 1
so 1
sofa 1
something 1
son 1
sons 3
soon 1
sort 1
speedy 1
spite 1
spontaneously 1
start 2
starts 1
state 1
stepmother 1
stepmothermdashwith 1
still 1
stronger 2
successful 1
suicide 2
tablets 2
take 1
taken 2
takes 3
ten 1
than 2
that 14
the 41
their 3
them 3
themselves 1
there 1
these 1
they 5
things 1
think 2
thinks 1
this 2
three 2
threeyearold 1
thus 1
time 1
to 29
tobias 3
together 2
tried 1
turn 1
turned 1
turns 1
two 5
under 1
unexpectedly 1
until 1
up 2
upside 1
uttered 1
very 2
wait 1
waiting 1
want 3
wanting 1
weak 1
wear 1
well 1
whatsoever 1
when 8
whether 1
which 3
who 5
whom 1
wife 1
will 2
william 1
wish 2
with 10
without 2
women 2
worrying 1
would 3
yearold 1
