5194768
/m/0d76hr
/m/0d76hr
Willa Cather
1923
{"/m/02xlf": "Fiction"}
a 5
activism 1
adapting 1
after 1
an 2
and 13
apparent 1
are 2
army 1
as 2
at 2
attending 2
back 1
battlefield 1
becomes 1
befriends 1
begins 1
believing 1
better 1
beyond 1
care 1
career 1
caring 1
childhood 1
china 1
christian 2
claude 10
college 2
continues 1
continuing 1
convince 1
culminates 1
debate 1
decides 1
departs 1
despite 1
devastated 1
development 1
dramatically 1
drudgery 1
education 1
encounter 1
enid 3
enlists 1
enter 1
epidemic 1
erlich 1
erlichs 2
europe 1
every 1
expands 1
fallen 1
family 5
farm 4
farming 1
father 1
felt 1
ferocious 1
finally 1
fixated 1
football 1
for 3
found 1
freedom 1
freethinking 1
friend 1
friendship 1
from 1
frontline 1
game 1
german 1
give 1
hardships 1
has 4
he 2
her 1
him 1
his 11
however 1
i 1
ignore 1
ill 1
in 7
influenza 1
interested 1
interrupted 1
is 4
it 1
leave 1
life 1
love 2
loving 1
marriage 2
marries 1
mattered 1
meets 1
missionary 2
more 2
moves 1
music 1
never 1
new 1
nonetheless 1
notions 2
obligated 1
of 7
on 1
once 1
onslaught 1
operate 1
overseas 1
overwhelming 1
own 1
parents 2
part 1
perception 1
pinned 1
pleas 1
political 1
principle 1
purpose 2
pursuit 1
quickly 2
responsibilities 1
revels 1
royce 1
she 1
sister 1
state 1
states 1
suddenly 1
temple 1
than 1
that 2
the 15
though 1
to 7
tried 1
united 1
university 3
us 1
vague 1
war 2
wheeler 1
when 4
while 1
who 1
with 2
work 1
world 2
would 1
