826661
/m/03f8c0
/m/03f8c0
Michael Shaara
1974
166 1
a 4
about 2
actions 1
add 1
adding 1
advance 1
advanced 1
after 1
aiming 1
also 1
america 1
an 1
and 10
are 1
armies 2
as 4
authenticity 1
author 1
badge 1
battle 4
battlefield 1
battles 1
beginning 1
buford 1
but 1
by 2
causes 1
chamberlain 1
chapters 1
choice 1
civil 1
colonels 1
commanders 1
common 1
compared 1
confederacy 1
courage 1
crane 1
day 1
decisions 3
depicting 1
depiction 1
describe 1
e 1
each 2
emotionladen 1
emphasizes 1
epic 1
expanded 1
explained 1
face 1
family 1
famous 1
federals 1
for 4
friends 1
from 1
full 1
gathering 1
generals 2
gettysburg 1
gods 1
harrison 1
he 1
henry 1
his 1
history 1
in 3
including 1
information 1
inspired 1
into 1
is 2
its 1
james 1
jeffrey 1
john 1
joshua 1
largest 1
last 1
lawrence 1
led 1
lee 1
longstreet 2
made 1
maps 1
measure 1
military 1
modeled 1
more 1
most 1
motivations 2
movements 1
north 1
novel 1
of 14
officers 1
old 1
on 1
one 1
other 1
perspectives 1
positioning 1
positions 1
prequel 1
primarily 1
produce 1
red 1
relate 1
retreat 1
robert 1
section 1
sense 1
sequel 1
shaara 5
shakespeare 1
site 1
soldiers 1
sometimes 1
son 1
specific 1
spy 1
stephen 1
story 2
study 1
subject 1
than 1
that 3
the 30
these 1
they 3
to 8
told 1
took 1
troops 1
two 1
union 1
uses 1
v 1
vacation 1
war 2
was 2
went 2
william 1
with 2
