5401791
/m/0dk6lr
/m/0dk6lr
Ben Aaronovitch

{"/m/014dfn": "Speculative fiction"}
a 54
able 1
about 2
accidentally 1
accompanied 1
accuses 1
across 1
actions 1
actually 2
admits 2
advanced 3
affection 1
after 4
again 2
against 3
agents 1
agonising 1
alien 1
alive 1
all 3
allow 1
allowed 1
allows 1
along 2
already 1
also 5
although 1
am 2
amalgam 1
amxitsa 5
an 5
ancient 1
and 68
animals 2
annoyed 1
another 3
answering 1
anyone 1
anything 1
apparently 1
appears 1
apple 1
approaches 1
are 8
area 1
arguing 1
arrive 2
artificial 1
artist 1
as 7
asked 1
asks 2
asylum 1
at 6
atlantic 1
attack 1
attacked 2
attacking 3
attacks 1
attempt 1
attracted 1
away 1
back 5
bad 1
baker 1
banded 1
baths 1
bay 1
be 6
beach 1
because 1
become 2
becomes 2
been 3
before 3
befriended 1
begins 7
begun 1
behaviour 1
being 1
believes 2
benny 11
berut 3
biology 1
biplane 1
blamed 1
blames 1
blast 1
board 1
box 1
brain 2
break 1
brothers 1
brought 2
bubble 1
build 2
built 1
bumps 1
busy 2
but 7
by 13
called 3
calls 1
can 2
cannot 3
catch 1
catches 1
catered 1
caught 2
cause 1
caused 1
causes 1
change 1
charge 1
child 2
choice 1
chris 8
circuits 1
claims 3
clauses 1
clever 1
cleverness 1
close 1
cmel 6
cockroach 1
code 1
comfortable 1
committing 1
companions 2
computer 1
conceived 1
conceives 1
concludes 1
conducting 1
confesses 1
confirms 1
confronts 2
consumes 1
contrary 1
conversation 1
convinced 1
convinces 1
cope 1
could 2
couple 1
created 2
creators 1
creature 2
crew 4
crime 3
crimes 1
cult 1
culture 1
curious 1
damaged 1
dancing 1
dangerous 1
danhamakatu 2
daughter 1
days 2
death 5
decides 1
decision 2
denies 1
dep 6
depth 1
deserted 1
designed 1
desire 1
despite 2
destroy 1
destroyed 1
destroying 1
detrios 1
develop 1
developed 1
diary 3
died 1
different 2
disappeared 1
discharge 2
discover 1
discovered 1
dismantled 1
dispatches 1
disturbs 1
dna 1
do 1
doctor 31
doesnt 1
doing 2
down 4
downloads 1
dreams 2
drink 2
drone 7
drones 2
during 3
dyson 1
earlier 4
eat 2
effects 1
electrical 1
electronic 1
encounter 1
encounters 1
ends 1
enemy 1
energy 1
enhancing 1
enough 1
entities 1
environment 1
epilogue 1
