8016461
/m/026nnk9
/m/026nnk9
Vilhelm Moberg
1949
1840s 1
1850 2
1th 1
a 11
accepts 1
adventurous 1
afresh 1
after 1
again 1
albrektsson 1
all 1
an 1
and 12
andreasson 1
are 1
arvid 1
as 3
at 1
banished 1
battling 1
been 1
before 1
beginnings 1
behind 1
belongings 1
better 1
bible 1
big 1
board 2
bok 1
book 2
bring 1
brother 2
but 3
by 1
catalyst 1
century 1
characters 1
child 1
children 2
church 1
city 1
conditions 1
country 2
danger 1
danjel 1
daughter 1
death 1
delusions 1
describes 1
dissent 1
divorce 1
doesnt 1
due 1
during 1
elin 1
emigration 1
escape 3
even 1
faced 1
families 1
family 2
famine 2
farm 2
farmer 1
farmhand 1
finally 1
finding 1
first 1
for 1
form 1
former 1
four 2
friend 1
from 5
go 1
goes 1
group 1
had 1
hard 1
hardships 1
harsh 1
harvests 1
have 1
he 1
help 1
her 4
hired 1
his 3
holding 1
home 2
how 2
husband 1
illustrate 1
in 13
include 1
is 2
jonas 1
just 1
karl 3
karloskar 1
karlshamn 1
knowing 1
kristina 4
landless 1
lead 1
leave 3
life 2
lives 1
living 1
ljuder 1
looking 1
lutheran 1
make 1
marriage 1
midsummer 1
motives 1
much 1
never 1
new 2
nilsson 1
not 2
novel 1
of 13
off 1
oldest 1
on 3
oskar 3
others 1
own 1
pack 1
parish 1
part 2
passage 1
past 1
pays 1
people 1
petter 1
place 2
plans 1
poor 1
possible 1
poverty 1
powerful 1
prompted 1
prostitute 1
reaching 1
realizes 1
religious 1
rest 1
robert 3
rural 1
scurvy 1
sea 1
search 1
seasickness 1
second 2
see 1
seeking 1
seeks 2
she 3
ship 1
simple 1
small 1
smland 1
socken 1
some 1
son 1
spend 1
start 1
state 1
states 1
story 1
study 1
subdivide 1
svutvandrarna 1
sweden 3
takes 1
tells 1
ten 1
that 3
the 25
their 8
then 1
they 6
time 1
to 12
tolerated 1
too 1
travelers 1
ulrika 1
uncle 1
unhappy 1
united 1
up 2
very 1
vsterghl 1
want 2
was 3
weeks 1
when 2
where 1
who 3
whose 1
wife 1
will 1
with 3
work 2
world 1
york 1
